start	mean
-21600	0.121854
-21540	0.099828
-21480	0.109760
-21420	0.084022
-21360	0.123581
-21300	0.114175
-21240	0.118624
-21180	0.084797
-21120	0.165429
-21060	0.107901
-21000	0.095761
-20940	0.071675
-20880	0.081898
-20820	0.124085
-20760	0.147808
-20700	0.120885
-20640	0.096144
-20580	0.026641
-20520	0.115234
-20460	0.054786
-20400	0.152307
-20340	0.131061
-20280	0.043398
-20220	0.151655
-20160	0.165652
-20100	0.075746
-20040	0.107339
-19980	0.098215
-19920	0.129258
-19860	0.055884
-19800	0.081202
-19740	0.192296
-19680	0.150846
-19620	0.120909
-19560	0.061951
-19500	0.125422
-19440	0.138350
-19380	0.191127
-19320	0.106983
-19260	0.165267
-19200	0.161026
-19140	0.176770
-19080	0.112637
-19020	0.077400
-18960	0.149906
-18900	0.120057
-18840	0.068274
-18780	0.094118
-18720	0.157062
-18660	0.202066
-18600	0.194998
-18540	0.073268
-18480	0.113939
-18420	0.145513
-18360	0.095097
-18300	0.101984
-18240	0.084908
-18180	0.150775
-18120	0.142767
-18060	0.053608
-18000	0.142801
-17940	0.128119
-17880	0.056056
-17820	0.118431
-17760	0.193984
-17700	0.187513
-17640	0.137191
-17580	0.122672
-17520	0.193375
-17460	0.114919
-17400	0.063740
-17340	0.163879
-17280	0.240716
-17220	0.143013
-17160	0.055375
-17100	0.085567
-17040	0.113056
-16980	0.056024
-16920	0.102304
-16860	0.064072
-16800	0.131460
-16740	0.024409
-16680	0.152855
-16620	0.133886
-16560	0.037957
-16500	0.176815
-16440	0.128812
-16380	0.148081
-16320	0.144840
-16260	0.127276
-16200	0.087532
-16140	0.140780
-16080	0.119219
-16020	0.144690
-15960	0.074304
-15900	0.159072
-15840	0.132565
-15780	0.185544
-15720	0.160785
-15660	0.069423
-15600	0.129551
-15540	0.174748
-15480	0.143169
-15420	0.123272
-15360	0.173378
-15300	0.097245
-15240	0.122381
-15180	0.056055
-15120	0.093425
-15060	0.107387
-15000	0.161452
-14940	0.043221
-14880	0.128609
-14820	0.072113
-14760	0.147448
-14700	0.126363
-14640	0.155880
-14580	0.102831
-14520	0.134318
-14460	0.089790
-14400	0.089913
-14340	0.013057
-14280	0.067602
-14220	0.081964
-14160	0.088726
-14100	0.129671
-14040	0.119896
-13980	0.197522
-13920	0.138082
-13860	0.126888
-13800	0.101849
-13740	0.129803
-13680	0.081495
-13620	0.120297
-13560	0.101084
-13500	0.158783
-13440	0.127747
-13380	0.125713
-13320	0.147479
-13260	0.086684
-13200	0.114948
-13140	0.150901
-13080	0.102215
-13020	0.165754
-12960	0.105308
-12900	0.055204
-12840	0.138528
-12780	0.067595
-12720	0.150002
-12660	0.183906
-12600	0.101567
-12540	0.164552
-12480	0.062786
-12420	0.151992
-12360	0.123237
-12300	0.077459
-12240	0.112487
-12180	0.140054
-12120	0.104996
-12060	0.136608
-12000	0.150703
-11940	0.153816
-11880	0.174562
-11820	0.090325
-11760	0.072281
-11700	0.134012
-11640	0.039570
-11580	0.152461
-11520	0.147154
-11460	0.181078
-11400	0.101929
-11340	0.100778
-11280	0.158356
-11220	0.149617
-11160	0.071409
-11100	0.095392
-11040	0.116730
-10980	0.125959
-10920	0.113447
-10860	0.142036
-10800	0.094128
-10740	0.093474
-10680	0.105202
-10620	0.116095
-10560	0.135573
-10500	0.153056
-10440	0.145787
-10380	0.127867
-10320	0.138271
-10260	0.119346
-10200	0.153545
-10140	0.097433
-10080	0.126969
-10020	0.162213
-9960	0.144461
-9900	0.099121
-9840	0.108796
-9780	0.131469
-9720	0.121071
-9660	0.076586
-9600	0.148184
-9540	0.074676
-9480	0.080900
-9420	0.073681
-9360	0.060899
-9300	0.127027
-9240	0.129047
-9180	0.157355
-9120	0.097719
-9060	0.125275
-9000	0.113136
-8940	0.087143
-8880	0.152620
-8820	0.117343
-8760	0.113680
-8700	0.091924
-8640	0.102859
-8580	0.119429
-8520	0.115779
-8460	0.128896
-8400	0.156083
-8340	0.077358
-8280	0.128958
-8220	0.108187
-8160	0.080395
-8100	0.093215
-8040	0.092139
-7980	0.161613
-7920	0.116944
-7860	0.117158
-7800	0.109553
-7740	0.099344
-7680	0.069686
-7620	0.107410
-7560	0.176091
-7500	0.104505
-7440	0.117073
-7380	0.164426
-7320	0.064559
-7260	0.143982
-7200	0.150903
-7140	0.120238
-7080	0.102533
-7020	0.123934
-6960	0.105476
-6900	0.097101
-6840	0.119438
-6780	0.076940
-6720	0.049846
-6660	0.097128
-6600	0.110206
-6540	0.147551
-6480	0.088704
-6420	0.089567
-6360	0.123660
-6300	0.075626
-6240	0.133134
-6180	0.116860
-6120	0.096495
-6060	0.109466
-6000	0.127210
-5940	0.118296
-5880	0.124776
-5820	0.110712
-5760	0.121699
-5700	0.061565
-5640	0.111673
-5580	0.077991
-5520	0.082518
-5460	0.099833
-5400	0.096212
-5340	0.106986
-5280	0.078255
-5220	0.133458
-5160	0.111438
-5100	0.107311
-5040	0.076007
-4980	0.124411
-4920	0.123678
-4860	0.106638
-4800	0.116655
-4740	0.113100
-4680	0.066447
-4620	0.152738
-4560	0.096365
-4500	0.102470
-4440	0.105186
-4380	0.104024
-4320	0.147322
-4260	0.095252
-4200	0.095863
-4140	0.141665
-4080	0.153145
-4020	0.134413
-3960	0.064078
-3900	0.098591
-3840	0.109660
-3780	0.100191
-3720	0.136998
-3660	0.100985
-3600	0.067865
-3540	0.071819
-3480	0.081694
