start	mean
-21600	0.122799
-21540	0.106889
-21480	0.112011
-21420	0.116209
-21360	0.108263
-21300	0.105313
-21240	0.081969
-21180	0.085372
-21120	0.121193
-21060	0.099724
-21000	0.115012
-20940	0.112127
-20880	0.101081
-20820	0.085352
-20760	0.129081
-20700	0.119028
-20640	0.088690
-20580	0.074196
-20520	0.121421
-20460	0.111594
-20400	0.133136
-20340	0.083780
-20280	0.049323
-20220	0.141937
-20160	0.107692
-20100	0.125414
-20040	0.127488
-19980	0.088860
-19920	0.130717
-19860	0.113540
-19800	0.108151
-19740	0.140593
-19680	0.136555
-19620	0.101259
-19560	0.095682
-19500	0.129979
-19440	0.122828
-19380	0.131124
-19320	0.109156
-19260	0.124019
-19200	0.151289
-19140	0.134704
-19080	0.090898
-19020	0.109925
-18960	0.120731
-18900	0.139033
-18840	0.088914
-18780	0.104722
-18720	0.095947
-18660	0.170748
-18600	0.131947
-18540	0.102346
-18480	0.124262
-18420	0.127497
-18360	0.120909
-18300	0.113175
-18240	0.091806
-18180	0.103668
-18120	0.146970
-18060	0.099998
-18000	0.119229
-17940	0.106354
-17880	0.089248
-17820	0.112807
-17760	0.116361
-17700	0.163411
-17640	0.150622
-17580	0.097566
-17520	0.168567
-17460	0.086677
-17400	0.108424
-17340	0.115412
-17280	0.155762
-17220	0.114520
-17160	0.072593
-17100	0.108511
-17040	0.127913
-16980	0.106436
-16920	0.102618
-16860	0.093429
-16800	0.097933
-16740	0.090117
-16680	0.110377
-16620	0.142193
-16560	0.082977
-16500	0.124231
-16440	0.132122
-16380	0.119049
-16320	0.106188
-16260	0.091084
-16200	0.112394
-16140	0.127593
-16080	0.093098
-16020	0.112285
-15960	0.082472
-15900	0.140006
-15840	0.101936
-15780	0.124367
-15720	0.128222
-15660	0.117854
-15600	0.119925
-15540	0.140368
-15480	0.122333
-15420	0.086533
-15360	0.136741
-15300	0.101885
-15240	0.110856
-15180	0.084050
-15120	0.092267
-15060	0.125848
-15000	0.081937
-14940	0.087004
-14880	0.128730
-14820	0.097524
-14760	0.138560
-14700	0.152921
-14640	0.122816
-14580	0.116761
-14520	0.095256
-14460	0.106620
-14400	0.087754
-14340	0.093947
-14280	0.083409
-14220	0.104353
-14160	0.101116
-14100	0.111117
-14040	0.099230
-13980	0.143535
-13920	0.096569
-13860	0.118157
-13800	0.103305
-13740	0.114302
-13680	0.084830
-13620	0.109121
-13560	0.094141
-13500	0.138641
-13440	0.115306
-13380	0.117159
-13320	0.118067
-13260	0.098296
-13200	0.102402
-13140	0.132864
-13080	0.099282
-13020	0.103685
-12960	0.104583
-12900	0.114443
-12840	0.085319
-12780	0.088823
-12720	0.118926
-12660	0.120014
-12600	0.117174
-12540	0.125775
-12480	0.104184
-12420	0.136183
-12360	0.105398
-12300	0.115656
-12240	0.125745
-12180	0.108464
-12120	0.084645
-12060	0.099741
-12000	0.114601
-11940	0.144409
-11880	0.123896
-11820	0.118564
-11760	0.101628
-11700	0.096452
-11640	0.120821
-11580	0.118098
-11520	0.133123
-11460	0.116576
-11400	0.108114
-11340	0.136784
-11280	0.116783
-11220	0.130510
-11160	0.102500
-11100	0.104056
-11040	0.127544
-10980	0.140534
-10920	0.124100
-10860	0.115833
-10800	0.136674
-10740	0.122333
-10680	0.106331
-10620	0.115203
-10560	0.130827
-10500	0.106791
-10440	0.161911
-10380	0.101173
-10320	0.111869
-10260	0.111829
-10200	0.167143
-10140	0.099895
-10080	0.134270
-10020	0.143656
-9960	0.130366
-9900	0.122129
-9840	0.127087
-9780	0.118227
-9720	0.099905
-9660	0.079369
-9600	0.117521
-9540	0.095051
-9480	0.110175
-9420	0.091246
-9360	0.091543
-9300	0.127059
-9240	0.120219
-9180	0.122159
-9120	0.106053
-9060	0.102711
-9000	0.086321
-8940	0.090411
-8880	0.120064
-8820	0.098705
-8760	0.118324
-8700	0.115317
-8640	0.138261
-8580	0.108844
-8520	0.096300
-8460	0.140809
-8400	0.101314
-8340	0.084101
-8280	0.120616
-8220	0.093286
-8160	0.122786
-8100	0.122323
-8040	0.100732
-7980	0.143276
-7920	0.127408
-7860	0.121639
-7800	0.115589
-7740	0.103018
-7680	0.067172
-7620	0.092330
-7560	0.132963
-7500	0.104497
-7440	0.090635
-7380	0.120408
-7320	0.077198
-7260	0.116291
-7200	0.108675
-7140	0.114474
-7080	0.104797
-7020	0.097584
-6960	0.102858
-6900	0.084988
-6840	0.085317
-6780	0.101656
-6720	0.103935
-6660	0.104276
-6600	0.096412
-6540	0.101826
-6480	0.095140
-6420	0.118142
-6360	0.110313
-6300	0.101121
-6240	0.109667
-6180	0.120721
-6120	0.098300
-6060	0.104963
-6000	0.119338
-5940	0.109236
-5880	0.107638
-5820	0.085443
-5760	0.104031
-5700	0.082236
-5640	0.118369
-5580	0.113083
-5520	0.093223
-5460	0.082306
-5400	0.137873
-5340	0.085287
-5280	0.102001
-5220	0.108251
-5160	0.112555
-5100	0.122437
-5040	0.076821
-4980	0.086487
-4920	0.119616
-4860	0.115210
-4800	0.093597
-4740	0.122447
-4680	0.070888
-4620	0.130558
-4560	0.090886
-4500	0.094052
-4440	0.115929
-4380	0.094612
-4320	0.129649
-4260	0.100980
-4200	0.090897
-4140	0.120008
-4080	0.121027
-4020	0.113240
-3960	0.077960
-3900	0.100839
-3840	0.112328
-3780	0.096334
-3720	0.086108
-3660	0.126035
-3600	0.087878
-3540	0.081363
-3480	0.111431
-3420	0.112331
-3360	0.125731
-3300	0.114084
-3240	0.103006
-3180	0.069665
-3120	0.097804
-3060	0.091929
-3000	0.112685
-2940	0.108440
-2880	0.088312
-2820	0.111352
-2760	0.123066
-2700	0.104477
-2640	0.102061
-2580	0.085628
-2520	0.076755
-2460	0.082779
-2400	0.119211
-2340	0.091116
-2280	0.110089
-2220	0.107194
-2160	0.085401
-2100	0.084221
-2040	0.104987
-1980	0.091168
-1920	0.099133
-1860	0.089363
-1800	0.107621
-1740	0.108503
-1680	0.101483
-1620	0.097493
-1560	0.101221
-1500	0.100940
-1440	0.097727
-1380	0.092343
-1320	0.097994
-1260	0.085428
-1200	0.103555
-1140	0.095456
-1080	0.084897
-1020	0.087957
-960	0.078050
-900	0.088300
-840	0.095522
-780	0.102092
-720	0.103802
-660	0.082676
-600	0.101896
-540	0.079667
-480	0.073826
-420	0.080032
-360	0.074368
-300	0.080084
-240	0.080541
-180	0.086530
-120	0.089004
-60	0.067124
0	0.084891
60	0.100507
120	0.110086
180	0.108672
240	0.093554
300	0.114772
360	0.107888
420	0.118078
480	0.099754
540	0.112815
600	0.117866
660	0.116007
720	0.108866
780	0.110217
840	0.117123
900	0.104421
960	0.117168
1020	0.094485
1080	0.124184
1140	0.113243
1200	0.103541
1260	0.135621
1320	0.125767
1380	0.113727
1440	0.117715
1500	0.118508
1560	0.097269
1620	0.105393
1680	0.121129
1740	0.113370
1800	0.122548
1860	0.123553
1920	0.119149
1980	0.110726
2040	0.085092
2100	0.123863
2160	0.107439
2220	0.101248
2280	0.114432
2340	0.109432
2400	0.113637
2460	0.121003
2520	0.114792
2580	0.127119
2640	0.093398
2700	0.110922
2760	0.128076
2820	0.111448
2880	0.119974
2940	0.122967
3000	0.113310
3060	0.115452
3120	0.110349
3180	0.104674
3240	0.112489
3300	0.121905
3360	0.115211
3420	0.106696
3480	0.121917
3540	0.091772
3600	0.106409
3660	0.122955
3720	0.076569
3780	0.099769
3840	0.130839
3900	0.101581
3960	0.119474
4020	0.116934
4080	0.123623
4140	0.116244
4200	0.114476
4260	0.090021
4320	0.132087
4380	0.103506
4440	0.115555
4500	0.116449
4560	0.122376
4620	0.116100
4680	0.134627
4740	0.101482
4800	0.086637
4860	0.107905
4920	0.095594
4980	0.123293
5040	0.105785
5100	0.103780
5160	0.125424
5220	0.106992
5280	0.094320
5340	0.118481
5400	0.133529
5460	0.115298
5520	0.131896
5580	0.137793
5640	0.105406
5700	0.115771
5760	0.113683
5820	0.109691
5880	0.132096
5940	0.135889
6000	0.116153
6060	0.146288
6120	0.120591
6180	0.120303
6240	0.117689
6300	0.121636
6360	0.125628
6420	0.127166
6480	0.121297
6540	0.126758
6600	0.112851
6660	0.127570
6720	0.123826
6780	0.109370
6840	0.122868
6900	0.156548
6960	0.076410
7020	0.087323
7080	0.095251
7140	0.120358
7200	0.104719
7260	0.094665
7320	0.120498
7380	0.113104
7440	0.115254
7500	0.126369
7560	0.132366
7620	0.095506
7680	0.116977
7740	0.098958
7800	0.119160
7860	0.126959
7920	0.125514
