start	mean
-21600	0.108224
-21540	0.088771
-21480	0.103010
-21420	0.140146
-21360	0.057658
-21300	0.087479
-21240	0.055751
-21180	0.082288
-21120	0.079312
-21060	0.045120
-21000	0.158332
-20940	0.141667
-20880	0.125221
-20820	0.081206
-20760	0.121108
-20700	0.119785
-20640	0.111204
-20580	0.088768
-20520	0.126112
-20460	0.103992
-20400	0.110935
-20340	0.065633
-20280	0.041711
-20220	0.149468
-20160	0.103059
-20100	0.097691
-20040	0.114234
-19980	0.093657
-19920	0.153055
-19860	0.140645
-19800	0.095679
-19740	0.128318
-19680	0.126789
-19620	0.095920
-19560	0.114378
-19500	0.147062
-19440	0.112079
-19380	0.069007
-19320	0.091797
-19260	0.093185
-19200	0.154058
-19140	0.099457
-19080	0.117947
-19020	0.136153
-18960	0.137935
-18900	0.118662
-18840	0.110170
-18780	0.119938
-18720	0.068234
-18660	0.155891
-18600	0.096858
-18540	0.158004
-18480	0.117863
-18420	0.093092
-18360	0.112487
-18300	0.121214
-18240	0.106308
-18180	0.084111
-18120	0.129459
-18060	0.135688
-18000	0.100441
-17940	0.089655
-17880	0.096872
-17820	0.106917
-17760	0.099644
-17700	0.166786
-17640	0.152403
-17580	0.086133
-17520	0.151090
-17460	0.059776
-17400	0.166834
-17340	0.092657
-17280	0.111054
-17220	0.101253
-17160	0.073532
-17100	0.125187
-17040	0.119039
-16980	0.140785
-16920	0.106549
-16860	0.117373
-16800	0.105050
-16740	0.123362
-16680	0.073151
-16620	0.191428
-16560	0.064670
-16500	0.100849
-16440	0.111592
-16380	0.103500
-16320	0.109267
-16260	0.070125
-16200	0.127908
-16140	0.120129
-16080	0.063651
-16020	0.093463
-15960	0.110561
-15900	0.108319
-15840	0.078382
-15780	0.085065
-15720	0.125994
-15660	0.162351
-15600	0.131643
-15540	0.140165
-15480	0.096988
-15420	0.058112
-15360	0.128440
-15300	0.132208
-15240	0.104846
-15180	0.112022
-15120	0.122705
-15060	0.124987
-15000	0.033043
-14940	0.101480
-14880	0.135739
-14820	0.107298
-14760	0.129413
-14700	0.181506
-14640	0.100095
-14580	0.134701
-14520	0.062774
-14460	0.124145
-14400	0.093104
-14340	0.097515
-14280	0.061074
-14220	0.112602
-14160	0.106481
-14100	0.108776
-14040	0.064955
-13980	0.128131
-13920	0.058545
-13860	0.095241
-13800	0.097551
-13740	0.098593
-13680	0.059379
-13620	0.105004
-13560	0.097465
-13500	0.109324
-13440	0.095946
-13380	0.104217
-13320	0.076071
-13260	0.097594
-13200	0.083506
-13140	0.128137
-13080	0.100803
-13020	0.071049
-12960	0.102271
-12900	0.153657
-12840	0.043330
-12780	0.100335
-12720	0.130755
-12660	0.117759
-12600	0.150190
-12540	0.120286
-12480	0.124716
-12420	0.130072
-12360	0.088520
-12300	0.158929
-12240	0.122569
-12180	0.107416
-12120	0.077514
-12060	0.086809
-12000	0.113535
-11940	0.142618
-11880	0.108636
-11820	0.120147
-11760	0.126440
-11700	0.111323
-11640	0.146238
-11580	0.098539
-11520	0.144297
-11460	0.057637
-11400	0.129645
-11340	0.159112
-11280	0.081963
-11220	0.125747
-11160	0.129602
-11100	0.096695
-11040	0.126196
-10980	0.134029
-10920	0.132814
