start	mean
-21600	0.103712
-21540	0.093136
-21480	0.131810
-21420	0.133536
-21360	0.076735
-21300	0.088469
-21240	0.086462
-21180	0.133758
-21120	0.082169
-21060	0.043306
-21000	0.166357
-20940	0.159759
-20880	0.151669
-20820	0.067640
-20760	0.094597
-20700	0.136090
-20640	0.097624
-20580	0.100210
-20520	0.131935
-20460	0.128782
-20400	0.113595
-20340	0.070553
-20280	0.073404
-20220	0.176732
-20160	0.106623
-20100	0.109199
-20040	0.120801
-19980	0.070146
-19920	0.173451
-19860	0.154888
-19800	0.103073
-19740	0.143431
-19680	0.127000
-19620	0.080454
-19560	0.138487
-19500	0.153636
-19440	0.090521
-19380	0.088813
-19320	0.098273
-19260	0.104271
-19200	0.149542
-19140	0.091895
-19080	0.103231
-19020	0.131169
-18960	0.134844
-18900	0.131705
-18840	0.111658
-18780	0.096265
-18720	0.082813
-18660	0.147496
-18600	0.094189
-18540	0.154597
-18480	0.106256
-18420	0.074638
-18360	0.109337
-18300	0.116380
-18240	0.139930
-18180	0.055565
-18120	0.122339
-18060	0.113364
-18000	0.099655
-17940	0.089432
-17880	0.114831
-17820	0.107236
-17760	0.064656
-17700	0.184202
-17640	0.179892
-17580	0.100295
-17520	0.146748
-17460	0.063578
-17400	0.206654
-17340	0.061465
-17280	0.101694
-17220	0.089234
-17160	0.062471
-17100	0.154926
-17040	0.100091
-16980	0.180607
-16920	0.094266
-16860	0.109782
-16800	0.120210
-16740	0.128081
-16680	0.055129
-16620	0.182508
-16560	0.081776
-16500	0.113195
-16440	0.116816
-16380	0.075530
-16320	0.107625
-16260	0.071102
-16200	0.121920
-16140	0.105057
-16080	0.063243
-16020	0.110171
-15960	0.116520
-15900	0.112588
-15840	0.104426
-15780	0.085112
-15720	0.130263
-15660	0.164142
-15600	0.143492
-15540	0.123631
-15480	0.130186
-15420	0.052851
-15360	0.136487
-15300	0.116731
-15240	0.126838
-15180	0.123355
-15120	0.122640
-15060	0.135675
-15000	0.041356
-14940	0.108294
-14880	0.102269
-14820	0.107722
-14760	0.120425
-14700	0.164238
-14640	0.091849
-14580	0.161486
-14520	0.071306
-14460	0.105117
-14400	0.105329
-14340	0.132248
-14280	0.061845
-14220	0.121014
-14160	0.126710
-14100	0.077065
-14040	0.071829
-13980	0.125917
-13920	0.069984
-13860	0.074537
-13800	0.092810
-13740	0.102201
-13680	0.074669
-13620	0.091913
-13560	0.097126
-13500	0.121856
-13440	0.084740
-13380	0.124807
-13320	0.073615
-13260	0.076310
-13200	0.091875
-13140	0.132477
-13080	0.107309
-13020	0.075290
-12960	0.095062
-12900	0.180405
-12840	0.045960
-12780	0.100781
-12720	0.142268
-12660	0.130551
-12600	0.153718
-12540	0.132625
-12480	0.159850
-12420	0.132854
-12360	0.090298
-12300	0.143517
-12240	0.102913
-12180	0.096518
-12120	0.096380
-12060	0.077631
-12000	0.112530
-11940	0.136125
-11880	0.110499
-11820	0.123440
-11760	0.137937
-11700	0.114690
-11640	0.160324
-11580	0.093667
-11520	0.150560
-11460	0.062143
