start	mean
-21600	0.121639
-21540	0.074614
-21480	-0.016030
-21420	0.164262
-21360	-0.046884
-21300	0.083956
-21240	-0.077333
-21180	-0.099371
-21120	0.066692
-21060	0.053124
-21000	0.132194
-20940	0.050583
-20880	0.034047
-20820	0.140148
-20760	0.204224
-20700	0.078681
-20640	0.162390
-20580	0.053912
-20520	0.105314
-20460	0.014128
-20400	0.098915
-20340	0.050127
-20280	-0.136923
-20220	0.043932
-20160	0.092274
-20100	0.055612
-20040	0.090428
-19980	0.199022
-19920	0.060593
-19860	0.086264
-19800	0.073108
-19740	0.073911
-19680	0.126007
-19620	0.156784
-19560	0.003477
-19500	0.119637
-19440	0.190473
-19380	0.000271
-19320	0.070095
-19260	0.041576
-19200	0.171700
-19140	0.129926
-19080	0.169450
-19020	0.153012
-18960	0.150861
-18900	0.046643
-18840	0.103642
-18780	0.197720
-18720	0.021961
-18660	0.188071
-18600	0.105308
-18540	0.168711
-18480	0.178911
-18420	0.167382
-18360	0.122211
-18300	0.137098
-18240	-0.012598
-18180	0.194728
-18120	0.165848
-18060	0.229944
-18000	0.105052
-17940	0.090434
-17880	0.031525
-17820	0.105714
-17760	0.247015
-17700	0.102925
-17640	0.072051
-17580	0.030251
-17520	0.168097
-17460	0.040879
-17400	0.032807
-17340	0.209213
-17280	0.142927
-17220	0.138644
-17160	0.119617
-17100	0.006232
-17040	0.196555
-16980	-0.026952
-16920	0.164509
-16860	0.147045
-16800	0.064505
-16740	0.102123
-16680	0.157468
-16620	0.216735
-16560	-0.001905
-16500	0.052346
-16440	0.078435
-16380	0.225303
-16320	0.115194
-16260	0.064961
-16200	0.149719
-16140	0.186700
-16080	0.064820
-16020	0.031600
-15960	0.081960
-15900	0.094619
-15840	-0.029742
-15780	0.084817
-15720	0.108703
-15660	0.154428
-15600	0.089758
-15540	0.201924
-15480	-0.009984
-15420	0.080509
-15360	0.097122
-15300	0.205467
-15240	0.015461
-15180	0.067319
-15120	0.122976
-15060	0.077192
-15000	-0.004957
-14940	0.074789
-14880	0.282172
-14820	0.105973
-14760	0.164889
-14700	0.258703
-14640	0.129908
-14580	0.036109
-14520	0.026039
-14460	0.179324
-14400	0.044532
-14340	-0.074268
-14280	0.057527
-14220	0.082851
-14160	0.037535
-14100	0.237246
-14040	0.039588
-13980	0.137356
-13920	-0.009208
-13860	0.203294
-13800	0.121258
-13740	0.082867
-13680	0.008854
-13620	0.162280
-13560	0.099382
-13500	0.059790
-13440	0.144416
-13380	0.018164
-13320	0.085717
-13260	0.191851
-13200	0.046066
-13140	0.109827
-13080	0.080996
-13020	0.051295
-12960	0.132168
-12900	0.036878
-12840	0.031822
-12780	0.097983
-12720	0.074209
-12660	0.070753
-12600	0.135460
-12540	0.077939
-12480	0.000344
-12420	0.119610
-12360	0.077961
-12300	0.212051
-12240	0.187828
-12180	0.161594
-12120	-0.008073
-12060	0.125303
-12000	0.117584
-11940	0.167580
-11880	0.099525
-11820	0.109387
-11760	0.076893
-11700	0.097371
-11640	0.098459
-11580	0.115043
-11520	0.121150
-11460	0.037649
-11400	0.169656
-11340	0.139404
-11280	0.047629
-11220	0.136124
-11160	0.176536
-11100	-0.018376
-11040	0.113303
-10980	0.130026
-10920	0.123223
-10860	0.102896
-10800	0.139683
-10740	0.139756
-10680	0.078730
-10620	0.031060
-10560	0.159208
-10500	0.115765
-10440	0.143090
-10380	0.069124
-10320	0.071504
-10260	0.181676
-10200	0.171787
-10140	0.108522
-10080	0.140713
-10020	0.189033
-9960	0.091426
-9900	0.223774
-9840	-0.019855
-9780	0.014363
-9720	-0.012448
-9660	0.138427
-9600	0.117687
-9540	0.077397
-9480	0.128491
-9420	0.135717
-9360	0.034616
-9300	0.011555
-9240	0.137753
-9180	0.090680
-9120	0.087080
-9060	-0.004174
-9000	0.022495
-8940	0.121171
-8880	0.067928
-8820	0.080729
-8760	0.128062
-8700	0.100247
-8640	0.129828
-8580	0.132602
-8520	0.048202
-8460	0.150543
-8400	0.106071
-8340	0.037347
-8280	0.181961
-8220	0.034524
-8160	0.081622
-8100	0.086763
-8040	0.126142
-7980	0.166424
-7920	0.186932
-7860	0.079041
-7800	0.029617
-7740	0.090626
-7680	0.106121
-7620	-0.002346
-7560	0.081973
-7500	0.103986
-7440	0.107290
-7380	0.064329
-7320	-0.010057
-7260	0.133666
-7200	0.085692
-7140	0.085709
-7080	0.005567
-7020	0.058998
-6960	0.099683
-6900	0.053258
-6840	0.163603
-6780	0.039825
-6720	0.035136
-6660	0.021643
-6600	0.049588
-6540	0.051108
-6480	0.018971
