start	mean
-21600	0.152084
-21540	0.150572
-21480	0.137694
-21420	0.103282
-21360	0.185995
-21300	0.127351
-21240	0.081968
-21180	0.091576
-21120	0.128981
-21060	0.177607
-21000	0.072239
-20940	0.111331
-20880	0.083740
-20820	0.042281
-20760	0.119136
-20700	0.114888
-20640	0.023656
-20580	0.117505
-20520	0.120115
-20460	0.171667
-20400	0.147100
-20340	0.054774
-20280	0.069516
-20220	0.118201
-20160	0.047485
-20100	0.253441
-20040	0.176501
-19980	0.068127
-19920	0.095936
-19860	0.134806
-19800	0.161850
-19740	0.099813
-19680	0.132669
-19620	0.087764
-19560	0.108417
-19500	0.105710
-19440	0.120460
-19380	0.156995
-19320	0.140909
-19260	0.124312
-19200	0.135478
-19140	0.152863
-19080	0.022368
-19020	0.108160
-18960	0.055301
-18900	0.208696
-18840	0.074610
-18780	0.088781
-18720	0.083324
-18660	0.164071
-18600	0.114117
-18540	0.054709
-18480	0.149473
-18420	0.172248
-18360	0.169582
-18300	0.112212
-18240	0.070373
-18180	0.071751
-18120	0.186677
-18060	0.085558
-18000	0.115570
-17940	0.116909
-17880	0.114930
-17820	0.116707
-17760	0.048180
-17700	0.124310
-17640	0.162200
-17580	0.087618
-17520	0.168763
-17460	0.103441
-17400	0.054251
-17340	0.102474
-17280	0.110433
-17220	0.093277
-17160	0.101004
-17100	0.109772
-17040	0.172548
-16980	0.107281
-16920	0.095010
-16860	0.088988
-16800	0.028065
-16740	0.123739
-16680	0.119192
-16620	0.061995
-16560	0.167943
-16500	0.077780
-16440	0.182253
-16380	0.109447
-16320	0.044420
-16260	0.081324
-16200	0.118113
-16140	0.123602
-16080	0.121179
-16020	0.103111
-15960	0.036181
-15900	0.171989
-15840	0.101221
-15780	0.110724
-15720	0.082435
-15660	0.092258
-15600	0.079628
-15540	0.071094
-15480	0.135854
-15420	0.093934
-15360	0.103265
-15300	0.060415
-15240	0.104805
-15180	0.073887
-15120	0.045640
-15060	0.154622
-15000	0.071918
-14940	0.123209
-14880	0.118837
-14820	0.110018
-14760	0.142503
-14700	0.141493
-14640	0.114808
-14580	0.096773
-14520	0.097424
-14460	0.097637
-14400	0.074606
-14340	0.187554
-14280	0.135825
-14220	0.121990
-14160	0.110030
-14100	0.089178
-14040	0.141862
-13980	0.109124
-13920	0.098327
-13860	0.147589
-13800	0.116908
-13740	0.123029
-13680	0.133217
-13620	0.099958
-13560	0.077608
-13500	0.168336
-13440	0.137462
-13380	0.131090
-13320	0.162020
-13260	0.118782
-13200	0.124361
-13140	0.115019
-13080	0.091606
-13020	0.094322
-12960	0.107525
-12900	0.118208
-12840	0.089161
-12780	0.100295
-12720	0.060626
-12660	0.047209
-12600	0.074808
