start	mean
-21600	0.070707
-21540	0.158143
-21480	-0.023370
-21420	0.021673
-21360	0.075657
-21300	0.042209
-21240	0.133092
-21180	0.180941
-21120	0.172951
-21060	0.210572
-21000	0.080145
-20940	0.208304
-20880	0.108476
-20820	0.200680
-20760	0.033739
-20700	0.043891
-20640	0.053982
-20580	0.118367
-20520	0.075335
-20460	0.217787
-20400	0.170469
-20340	0.117515
-20280	-0.020391
-20220	0.083468
-20160	0.097238
-20100	0.125826
-20040	0.091648
-19980	0.195553
-19920	0.170411
-19860	0.174456
-19800	0.127173
-19740	0.258322
-19680	0.153226
-19620	0.140240
-19560	0.082190
-19500	0.050828
-19440	0.154510
-19380	0.220632
-19320	0.182342
-19260	0.070323
-19200	0.157500
-19140	0.191926
-19080	0.089974
-19020	0.194121
-18960	0.208022
-18900	0.136080
-18840	0.069359
-18780	0.088840
-18720	0.062570
-18660	0.201955
-18600	0.105326
-18540	0.214350
-18480	0.150339
-18420	0.220684
-18360	-0.005315
-18300	0.122369
-18240	0.155763
-18180	0.146872
-18120	0.031770
-18060	0.126184
-18000	0.056927
-17940	0.152416
-17880	0.048709
-17820	0.140635
-17760	0.162132
-17700	0.234111
-17640	0.097320
-17580	0.121797
-17520	0.143289
-17460	0.028777
-17400	0.142006
-17340	0.210787
-17280	0.205779
-17220	0.170352
-17160	0.142632
-17100	0.135212
-17040	0.193589
-16980	0.055970
-16920	0.173763
-16860	0.096771
-16800	-0.028012
-16740	0.061118
-16680	0.081497
-16620	0.123141
-16560	0.129127
-16500	0.102607
-16440	0.088767
-16380	0.188764
-16320	0.090324
-16260	0.239909
-16200	0.095868
-16140	0.186235
-16080	0.163522
-16020	0.186209
-15960	0.083395
-15900	0.133638
-15840	0.043100
-15780	0.082376
-15720	0.141669
-15660	0.279212
-15600	0.089609
-15540	0.191583
-15480	0.115117
-15420	0.090925
-15360	0.148138
-15300	0.027680
-15240	0.137955
-15180	0.160339
-15120	0.112165
-15060	0.121845
-15000	0.087061
-14940	0.127290
-14880	0.133048
-14820	0.098563
-14760	0.144081
-14700	0.119382
-14640	0.079790
-14580	0.047124
-14520	0.184297
-14460	0.169511
-14400	0.167175
-14340	0.122841
-14280	0.106559
-14220	0.093643
-14160	0.057908
-14100	0.122129
-14040	0.121360
-13980	0.114085
-13920	0.160072
-13860	0.054207
-13800	0.065057
-13740	0.173095
-13680	0.124012
-13620	0.176480
-13560	0.139638
-13500	0.163731
-13440	-0.036875
-13380	0.072636
-13320	0.216325
-13260	0.055763
-13200	0.142318
-13140	0.210409
-13080	0.110700
-13020	0.072663
-12960	0.086786
-12900	0.058403
-12840	0.119881
-12780	0.053900
-12720	0.092203
-12660	0.114661
-12600	0.095700
-12540	0.155438
-12480	0.175304
-12420	0.190937
-12360	0.121640
-12300	0.228440
-12240	0.191525
-12180	0.103690
-12120	0.174885
-12060	0.058245
-12000	0.129986
-11940	0.160429
-11880	0.253769
-11820	0.199196
-11760	0.135146
-11700	0.138895
-11640	0.068282
-11580	0.054681
-11520	0.135505
-11460	0.234500
-11400	0.305148
-11340	0.119402
-11280	0.278742
-11220	0.152667
-11160	0.187531
-11100	0.141218
-11040	0.082734
-10980	0.159930
-10920	0.110146
-10860	0.120255
-10800	0.166082
-10740	0.254382
-10680	0.097828
-10620	0.115380
-10560	0.144692
-10500	0.221462
-10440	0.100466
-10380	-0.038152
-10320	0.091185
-10260	0.145955
-10200	0.199170
-10140	0.145919
-10080	0.061336
-10020	0.131047
-9960	0.081530
-9900	0.084304
-9840	0.137772
-9780	0.096188
-9720	0.173381
-9660	0.200956
-9600	0.171997
-9540	0.163940
-9480	0.102314
-9420	0.198581
-9360	0.104988
-9300	0.221724
-9240	0.141805
-9180	0.122554
-9120	0.151458
-9060	0.133467
-9000	0.164564
-8940	0.094205
-8880	0.186955
-8820	0.209719
-8760	0.158584
-8700	0.072259
-8640	0.099606
-8580	0.123214
-8520	0.053723
-8460	0.162258
-8400	0.122794
-8340	0.196897
-8280	0.188305
-8220	0.153004
-8160	0.083952
-8100	0.080370
-8040	0.131620
-7980	0.148285
-7920	0.118068
-7860	0.112075
-7800	0.218855
-7740	0.143172
-7680	0.144341
-7620	0.095531
-7560	0.125397
-7500	0.237515
-7440	0.215199
-7380	0.092260
-7320	0.082001
-7260	0.193571
-7200	0.113483
-7140	0.160615
-7080	0.079038
-7020	0.141403
-6960	0.115550
-6900	0.119826
-6840	0.061200
-6780	0.157771
-6720	0.105025
-6660	0.121594
-6600	0.160474
-6540	0.152482
-6480	0.074425
-6420	0.080815
-6360	0.118984
-6300	0.066428
-6240	0.189867
-6180	0.150893
-6120	0.109984
-6060	0.061560
-6000	0.166659
-5940	0.153714
-5880	0.152883
-5820	0.159020
-5760	0.165196
-5700	0.106617
-5640	0.130682
-5580	0.128863
-5520	0.158590
-5460	0.150840
-5400	0.158624
-5340	0.161967
-5280	0.129401
-5220	0.092108
-5160	0.089989
-5100	0.152613
-5040	0.162836
-4980	0.113588
-4920	0.110693
-4860	0.221468
-4800	0.114446
-4740	0.111879
-4680	0.145674
-4620	0.102486
-4560	0.097983
-4500	0.110872
-4440	0.122355
-4380	0.099140
-4320	0.101753
-4260	0.202878
-4200	0.120770
-4140	0.072596
-4080	0.150054
-4020	0.166579
-3960	0.122499
-3900	0.120441
-3840	0.076524
-3780	0.146115
-3720	0.135668
-3660	0.096963
-3600	0.184939
-3540	0.143880
-3480	0.137417
-3420	0.107530
-3360	0.145560
-3300	0.160950
-3240	0.105880
-3180	0.078639
-3120	0.143636
-3060	0.146270
-3000	0.096936
-2940	0.188481
-2880	0.159964
-2820	0.154876
-2760	0.123432
-2700	0.128970
-2640	0.142517
-2580	0.164600
-2520	0.150351
-2460	0.152733
-2400	0.113047
-2340	0.127492
-2280	0.171504
-2220	0.102154
-2160	0.136260
-2100	0.131997
-2040	0.160835
-1980	0.126124
-1920	0.148461
-1860	0.164850
-1800	0.130506
-1740	0.200562
-1680	0.158419
-1620	0.131773
-1560	0.137259
-1500	0.128161
-1440	0.194538
-1380	0.218048
-1320	0.176628
-1260	0.121251
-1200	0.145750
-1140	0.104282
-1080	0.143106
-1020	0.123349
-960	0.111441
-900	0.103305
-840	0.104178
-780	0.167957
-720	0.200055
-660	0.145116
-600	0.164377
-540	0.131053
-480	0.176503
-420	0.189361
-360	0.199328
-300	0.137203
-240	0.199063
-180	0.193715
-120	0.189037
-60	0.157985
0	0.160645
60	0.184304
120	0.181549
180	0.165515
240	0.169126
300	0.137626
360	0.191633
420	0.163709
480	0.167737
540	0.200039
600	0.157852
660	0.191765
720	0.164674
780	0.146356
840	0.120978
900	0.121987
960	0.169741
1020	0.195183
1080	0.133146
1140	0.181471
1200	0.150564
1260	0.107995
1320	0.160199
1380	0.141358
1440	0.174528
1500	0.188353
1560	0.138140
1620	0.192088
1680	0.124677
1740	0.181711
1800	0.239228
1860	0.129623
1920	0.185470
1980	0.153495
2040	0.121954
2100	0.114174
2160	0.167571
2220	0.134591
2280	0.159873
2340	0.139441
2400	0.164626
2460	0.188442
2520	0.159165
2580	0.144173
2640	0.174467
2700	0.160705
2760	0.140090
2820	0.184469
2880	0.121596
2940	0.106038
3000	0.111287
3060	0.122341
3120	0.183963
3180	0.122599
3240	0.122533
3300	0.148298
3360	0.132984
3420	0.109079
3480	0.178677
3540	0.111763
3600	0.155440
3660	0.108864
3720	0.171708
3780	0.138897
3840	0.169794
3900	0.133667
3960	0.147611
4020	0.145713
4080	0.137705
4140	0.094743
4200	0.139244
4260	0.101484
4320	0.135966
4380	0.153280
4440	0.153854
4500	0.122823
4560	0.174478
4620	0.160972
4680	0.118392
4740	0.186463
4800	0.131258
4860	0.155033
4920	0.168960
4980	0.159773
5040	0.126091
5100	0.185553
5160	0.112098
5220	0.145595
5280	0.162573
5340	0.169235
5400	0.133775
5460	0.195575
5520	0.171014
5580	0.136301
5640	0.113543
5700	0.112583
5760	0.173021
5820	0.060025
5880	0.121062
5940	0.124286
6000	0.164259
6060	0.131214
6120	0.075532
6180	0.146268
6240	0.102797
6300	0.153145
6360	0.126799
6420	0.160366
6480	0.155362
6540	0.062342
6600	0.084390
6660	0.118740
6720	0.083540
6780	0.117236
6840	0.176566
6900	0.154681
6960	0.160987
7020	0.086712
7080	0.145489
7140	0.129534
7200	0.112791
7260	0.185036
7320	0.068805
7380	0.147255
7440	0.121004
7500	0.081481
7560	0.155430
7620	0.154334
7680	0.126154
7740	0.100992
7800	0.140744
7860	0.184536
7920	0.093165
7980	0.102236
8040	0.152686
8100	0.196168
8160	0.196161
8220	0.151946
8280	0.158336
8340	0.170845
8400	0.161635
8460	0.120872
8520	0.155500
8580	0.136042
8640	0.108038
8700	0.142337
8760	0.179488
8820	0.209948
8880	0.090638
8940	0.172120
9000	0.160341
9060	0.183351
9120	0.081718
9180	0.116159
9240	0.201298
9300	0.190342
9360	0.205121
9420	0.099880
9480	0.144453
9540	0.096479
9600	0.075477
9660	0.109407
9720	0.139340
9780	0.121503
9840	0.042367
9900	0.107003
9960	0.093141
10020	0.148233
10080	0.124610
10140	0.148971
10200	0.082183
10260	0.140390
10320	0.175575
10380	0.099520
10440	0.240507
10500	0.149660
10560	0.146298
10620	0.172774
10680	0.135623
10740	0.180949
10800	0.152373
10860	0.183521
10920	0.144391
10980	0.102481
11040	0.170594
11100	0.149361
11160	0.145451
11220	0.185877
11280	0.138426
11340	0.125476
11400	0.146819
11460	0.075341
11520	0.081771
11580	0.188906
11640	0.097087
11700	0.135470
11760	0.180513
11820	0.110580
11880	0.212191
11940	0.134332
12000	0.107715
12060	0.139379
12120	0.083806
12180	0.144150
12240	0.079815
12300	0.153376
12360	0.073920
12420	0.230394
12480	0.101708
12540	0.152063
12600	0.160581
12660	0.162925
12720	0.107126
12780	0.124735
12840	0.124611
12900	0.234947
12960	0.130067
13020	0.167372
13080	0.112182
13140	0.102178
13200	0.137870
13260	-0.036132
13320	0.231565
13380	0.096596
13440	0.044165
13500	0.197047
13560	0.206370
13620	0.126371
13680	0.193666
13740	0.116845
13800	0.164299
13860	0.131507
13920	0.075876
13980	0.178643
14040	0.155246
14100	0.140248
14160	0.158355
14220	0.173072
14280	0.103757
14340	0.127544
14400	0.025353
14460	0.113353
14520	0.208143
14580	0.237571
14640	0.070258
14700	0.132774
14760	0.142605
14820	0.137626
14880	0.146442
14940	0.084585
15000	0.189226
15060	0.115828
15120	0.066178
15180	0.151479
15240	0.013246
15300	0.095552
15360	0.130583
15420	0.131604
15480	0.131276
15540	0.146618
15600	0.123738
15660	0.116053
15720	0.056874
15780	0.168204
15840	0.143759
15900	0.113075
15960	0.078515
16020	0.147831
16080	0.054412
16140	0.182446
16200	0.170365
16260	0.113887
16320	0.092394
16380	0.209613
16440	0.125260
16500	0.151856
16560	0.158991
16620	0.193435
16680	0.120336
16740	0.157899
16800	0.131072
16860	0.022350
16920	0.056264
16980	0.091520
17040	0.099763
17100	0.090866
17160	0.153484
17220	0.102317
17280	0.185460
17340	0.132329
17400	0.039006
17460	0.102971
17520	0.130070
17580	0.067191
17640	0.053067
17700	0.074439
17760	0.093974
17820	0.141360
17880	0.087673
17940	0.233815
18000	0.136355
18060	0.135969
18120	0.095525
