start	mean
-21600	0.088977
-21540	0.111718
-21480	0.044277
-21420	0.061617
-21360	0.071078
-21300	0.075373
-21240	0.139827
-21180	0.111636
-21120	0.141820
-21060	0.194180
-21000	0.095714
-20940	0.187550
-20880	0.116923
-20820	0.170113
-20760	0.082554
-20700	0.110856
-20640	0.146272
-20580	0.125991
-20520	0.139557
-20460	0.158290
-20400	0.122077
-20340	0.118290
-20280	0.113879
-20220	0.100176
-20160	0.098667
-20100	0.091553
-20040	0.108314
-19980	0.153757
-19920	0.094024
-19860	0.137392
-19800	0.164355
-19740	0.125671
-19680	0.125407
-19620	0.161647
-19560	0.064126
-19500	0.113630
-19440	0.174390
-19380	0.147392
-19320	0.163374
-19260	0.204416
-19200	0.140107
-19140	0.136467
-19080	0.101157
-19020	0.167159
-18960	0.104164
-18900	0.141758
-18840	0.143757
-18780	0.113773
-18720	0.135855
-18660	0.136662
-18600	0.122436
-18540	0.101189
-18480	0.094478
-18420	0.176005
-18360	0.106782
-18300	0.152164
-18240	0.166546
-18180	0.135775
-18120	0.122333
-18060	0.140757
-18000	0.133996
-17940	0.151921
-17880	0.110341
-17820	0.125435
-17760	0.187777
-17700	0.190898
-17640	0.095744
-17580	0.145634
-17520	0.094133
-17460	0.109878
-17400	0.128628
-17340	0.170411
-17280	0.155750
-17220	0.160096
-17160	0.100953
-17100	0.158589
-17040	0.147583
-16980	0.101971
-16920	0.167265
-16860	0.124256
-16800	0.097846
-16740	0.098062
-16680	0.146528
-16620	0.109519
-16560	0.139338
-16500	0.090091
-16440	0.150211
-16380	0.121452
-16320	0.121914
-16260	0.163682
-16200	0.102572
-16140	0.132895
-16080	0.180015
-16020	0.126695
-15960	0.150529
-15900	0.137787
-15840	0.121842
-15780	0.086608
-15720	0.159794
-15660	0.176357
-15600	0.094465
-15540	0.148223
-15480	0.116323
-15420	0.114594
-15360	0.130898
-15300	0.084044
-15240	0.147971
-15180	0.108752
-15120	0.142698
-15060	0.139077
-15000	0.128923
-14940	0.137973
-14880	0.174179
-14820	0.150710
-14760	0.136494
-14700	0.134866
-14640	0.079403
-14580	0.128713
-14520	0.167274
-14460	0.117906
-14400	0.161598
-14340	0.166075
