start	mean
-21600	0.061003
-21540	0.068730
-21480	0.098525
-21420	0.120048
-21360	0.091022
-21300	0.041598
-21240	0.200607
-21180	0.041162
-21120	0.110576
-21060	0.236920
-21000	0.074846
-20940	0.208505
-20880	0.088323
-20820	0.221448
-20760	0.071788
-20700	0.152945
-20640	0.178745
-20580	0.160205
-20520	0.176594
-20460	0.133258
-20400	0.100436
-20340	0.128459
-20280	0.148203
-20220	0.096350
-20160	0.120772
-20100	0.059950
-20040	0.128133
-19980	0.171665
-19920	0.071966
-19860	0.098332
-19800	0.214727
-19740	0.074398
-19680	0.121458
-19620	0.162097
-19560	0.042143
-19500	0.153241
-19440	0.175069
-19380	0.148727
-19320	0.173899
-19260	0.208931
-19200	0.166956
-19140	0.087592
-19080	0.104893
-19020	0.163582
-18960	0.074415
-18900	0.139406
-18840	0.201541
-18780	0.095229
-18720	0.133928
-18660	0.147431
-18600	0.131774
-18540	0.024821
-18480	0.086562
-18420	0.192638
-18360	0.169669
-18300	0.158392
-18240	0.144071
-18180	0.130000
-18120	0.128388
-18060	0.179763
-18000	0.188155
-17940	0.078442
-17880	0.117778
-17820	0.086065
-17760	0.225858
-17700	0.162922
-17640	0.110035
-17580	0.131655
-17520	0.020136
-17460	0.156316
-17400	0.110629
-17340	0.170023
-17280	0.100678
-17220	0.150096
-17160	0.096942
-17100	0.155160
-17040	0.150512
-16980	0.080044
-16920	0.142184
-16860	0.109490
-16800	0.126334
-16740	0.077728
-16680	0.194067
-16620	0.110073
-16560	0.085236
-16500	0.045621
-16440	0.198149
-16380	0.105106
-16320	0.123511
-16260	0.132970
-16200	0.124225
-16140	0.133531
-16080	0.186638
-16020	0.050692
-15960	0.123699
-15900	0.150597
-15840	0.116706
-15780	0.121387
-15720	0.150080
-15660	0.169791
-15600	0.108215
-15540	0.140010
-15480	0.091673
-15420	0.125936
-15360	0.060979
-15300	0.114520
-15240	0.183085
-15180	0.130103
-15120	0.119370
-15060	0.138308
-15000	0.131665
-14940	0.145401
-14880	0.193282
-14820	0.192839
-14760	0.129952
-14700	0.107504
-14640	0.129289
-14580	0.163857
-14520	0.170922
-14460	0.060692
-14400	0.161816
-14340	0.205015
-14280	0.075184
-14220	0.147571
-14160	0.078676
-14100	0.096772
-14040	0.080272
-13980	0.055528
-13920	0.090047
-13860	0.014885
-13800	0.121951
-13740	0.022874
-13680	0.164516
-13620	0.098528
-13560	0.077897
-13500	0.134728
-13440	0.152874
-13380	0.045845
-13320	0.111537
-13260	0.173255
-13200	0.075342
-13140	0.057553
-13080	0.078647
-13020	0.136225
-12960	0.092193
-12900	0.129846
-12840	0.120522
-12780	0.115041
-12720	0.097276
-12660	0.104288
-12600	0.126238
-12540	0.107616
-12480	0.076337
-12420	0.162478
-12360	0.165629
-12300	0.111353
-12240	0.071288
-12180	0.087603
-12120	0.107385
-12060	0.166408
-12000	0.116520
-11940	0.144611
-11880	0.150449
-11820	0.128871
-11760	0.166092
-11700	0.108094
-11640	0.132187
-11580	0.172332
-11520	0.079535
-11460	0.137735
-11400	0.109645
-11340	0.142832
-11280	0.060703
-11220	0.094568
-11160	0.209931
-11100	0.088771
-11040	0.094734
-10980	0.063450
-10920	0.170848
-10860	0.147233
-10800	0.151492
-10740	0.165863
-10680	0.089247
-10620	0.077624
-10560	0.075479
-10500	0.112963
-10440	0.127570
-10380	0.103888
-10320	0.211064
-10260	0.165543
-10200	0.094302
-10140	0.201669
-10080	0.084983
-10020	0.148066
-9960	0.132018
-9900	0.071519
-9840	0.126427
-9780	0.157340
-9720	0.126665
-9660	0.101257
-9600	0.196725
-9540	0.168701
-9480	0.058251
-9420	0.139037
-9360	0.151659
-9300	0.082164
-9240	0.130685
-9180	0.111503
-9120	0.141845
-9060	0.180319
-9000	0.166071
-8940	0.079984
-8880	0.064530
-8820	0.037837
-8760	0.128533
-8700	0.173742
-8640	0.178957
-8580	0.158683
-8520	0.154099
-8460	0.178946
-8400	0.048054
-8340	0.166550
-8280	0.073965
-8220	0.166532
-8160	0.095481
-8100	0.057337
-8040	0.126595
-7980	0.137190
-7920	0.096903
-7860	0.209589
-7800	0.102150
-7740	0.080796
-7680	0.111857
-7620	0.191540
-7560	0.115245
-7500	0.200333
-7440	0.151992
-7380	0.144343
-7320	0.129555
-7260	0.109009
-7200	0.068561
-7140	0.160329
-7080	0.123719
-7020	0.162173
-6960	0.127634
-6900	0.158093
-6840	0.085479
-6780	0.140271
-6720	0.070331
-6660	0.123963
-6600	0.139431
-6540	0.134253
-6480	0.137863
-6420	0.095882
-6360	0.160630
-6300	0.121415
-6240	0.121778
-6180	0.137127
-6120	0.189376
-6060	0.104484
-6000	0.179057
-5940	0.101407
-5880	0.121992
-5820	0.188057
-5760	0.107147
-5700	0.127717
-5640	0.141893
-5580	0.164457
-5520	0.107638
-5460	0.148360
-5400	0.113420
-5340	0.081578
-5280	0.152831
-5220	0.134330
-5160	0.122363
-5100	0.143234
-5040	0.133662
-4980	0.104013
-4920	0.153535
-4860	0.190794
-4800	0.101385
-4740	0.147347
-4680	0.166214
-4620	0.145650
-4560	0.173280
-4500	0.097126
-4440	0.116145
-4380	0.146425
-4320	0.164168
-4260	0.118116
-4200	0.097069
-4140	0.045724
-4080	0.107857
-4020	0.138253
-3960	0.098163
-3900	0.083537
-3840	0.140271
-3780	0.083646
-3720	0.168104
-3660	0.142307
-3600	0.135270
-3540	0.103952
-3480	0.117378
-3420	0.153161
-3360	0.092657
-3300	0.099417
-3240	0.152658
-3180	0.092440
-3120	0.116195
-3060	0.114057
-3000	0.087432
-2940	0.102635
-2880	0.085926
-2820	0.180326
-2760	0.131623
-2700	0.171509
-2640	0.114614
-2580	0.100596
-2520	0.114481
-2460	0.153535
-2400	0.140538
-2340	0.161841
-2280	0.150895
-2220	0.162642
-2160	0.153945
-2100	0.147058
-2040	0.084201
-1980	0.122610
-1920	0.135797
-1860	0.146639
-1800	0.162145
-1740	0.118550
-1680	0.113699
-1620	0.151620
-1560	0.112335
-1500	0.172369
-1440	0.151827
-1380	0.138251
-1320	0.140900
-1260	0.143314
-1200	0.133322
-1140	0.116225
-1080	0.134258
-1020	0.158749
-960	0.155442
-900	0.122640
-840	0.134814
-780	0.157734
-720	0.151591
-660	0.185924
-600	0.150606
-540	0.154175
-480	0.166576
-420	0.157907
-360	0.160200
-300	0.177217
-240	0.185771
-180	0.179582
-120	0.208383
-60	0.195274
0	0.189072
60	0.165660
120	0.156614
180	0.176261
240	0.171898
300	0.153394
360	0.162966
420	0.156012
480	0.119378
540	0.145515
600	0.129974
660	0.137216
720	0.165041
780	0.138458
840	0.131516
900	0.126818
960	0.166116
1020	0.122789
1080	0.148840
1140	0.187504
1200	0.121192
1260	0.149398
1320	0.136398
1380	0.118990
1440	0.105016
1500	0.172109
1560	0.142747
1620	0.196362
1680	0.158503
1740	0.169983
1800	0.144480
1860	0.124677
1920	0.157203
1980	0.121854
2040	0.161230
2100	0.193997
2160	0.100948
2220	0.135404
2280	0.155320
2340	0.108403
2400	0.101504
2460	0.100071
2520	0.158684
2580	0.114923
2640	0.161682
2700	0.105888
2760	0.121726
2820	0.076039
2880	0.125611
2940	0.118151
3000	0.107627
3060	0.119880
3120	0.129831
3180	0.101169
3240	0.169464
3300	0.135898
3360	0.115024
3420	0.096498
3480	0.113575
3540	0.112739
3600	0.130435
3660	0.192302
3720	0.096049
3780	0.182558
3840	0.133543
3900	0.180903
3960	0.105144
4020	0.118331
4080	0.147745
4140	0.175668
4200	0.145859
4260	0.174709
4320	0.147159
4380	0.105095
4440	0.106142
4500	0.155992
4560	0.072260
4620	0.147471
4680	0.217150
4740	0.093464
4800	0.095207
4860	0.089254
4920	0.122963
4980	0.106319
5040	0.108219
5100	0.160999
5160	0.141915
5220	0.120365
5280	0.161960
5340	0.114179
5400	0.093044
5460	0.175723
5520	0.179525
5580	0.148249
5640	0.170180
5700	0.130511
5760	0.153066
5820	0.156383
5880	0.136663
5940	0.109391
6000	0.153283
6060	0.141641
6120	0.083404
6180	0.066895
6240	0.164023
6300	0.131440
