start	mean
-21600	0.025738
-21540	0.068888
-21480	0.069791
-21420	0.105766
-21360	0.089676
-21300	0.011259
-21240	0.191449
-21180	0.036600
-21120	0.081034
-21060	0.222746
-21000	0.112684
-20940	0.212810
-20880	0.094335
-20820	0.205412
-20760	0.061657
-20700	0.177545
-20640	0.161780
-20580	0.171278
-20520	0.156744
-20460	0.069527
-20400	0.131218
-20340	0.140833
-20280	0.147231
-20220	0.041266
-20160	0.075634
-20100	0.082310
-20040	0.175642
-19980	0.156126
-19920	0.079920
-19860	0.082351
-19800	0.227203
-19740	0.099448
-19680	0.085521
-19620	0.131097
-19560	0.039051
-19500	0.105795
-19440	0.204183
-19380	0.163712
-19320	0.212175
-19260	0.207635
-19200	0.192121
-19140	0.084592
-19080	0.131871
-19020	0.189805
-18960	0.095211
-18900	0.090700
-18840	0.205606
-18780	0.095402
-18720	0.156444
-18660	0.142715
-18600	0.141370
-18540	0.100198
-18480	0.073510
-18420	0.246023
-18360	0.179191
-18300	0.143194
-18240	0.119425
-18180	0.132408
-18120	0.125981
-18060	0.145793
-18000	0.196365
-17940	0.114715
-17880	0.092082
-17820	0.082710
-17760	0.235791
-17700	0.153680
-17640	0.076694
-17580	0.145986
-17520	0.039301
-17460	0.172738
-17400	0.150805
-17340	0.163181
-17280	0.116900
-17220	0.156052
-17160	0.123261
-17100	0.166157
-17040	0.194634
-16980	0.090158
-16920	0.170254
-16860	0.073130
-16800	0.115682
-16740	0.060316
-16680	0.175603
-16620	0.099062
-16560	0.088730
-16500	0.099339
-16440	0.183612
-16380	0.131184
-16320	0.118859
-16260	0.111876
-16200	0.132404
-16140	0.151094
-16080	0.167453
-16020	-0.013544
-15960	0.142545
-15900	0.172451
-15840	0.088613
-15780	0.102434
-15720	0.120332
-15660	0.164802
-15600	0.139259
-15540	0.123424
-15480	0.075678
-15420	0.117636
-15360	0.092964
-15300	0.060488
-15240	0.226741
-15180	0.131022
-15120	0.119602
-15060	0.165392
-15000	0.126871
-14940	0.112022
-14880	0.190070
-14820	0.199484
-14760	0.122873
-14700	0.101522
-14640	0.142161
-14580	0.162213
-14520	0.190890
-14460	0.055408
-14400	0.197939
-14340	0.198518
-14280	0.082059
-14220	0.139500
-14160	0.112108
-14100	0.040051
-14040	0.100837
-13980	0.059451
-13920	0.090160
-13860	0.018172
-13800	0.159472
-13740	0.024492
-13680	0.176909
-13620	0.091987
-13560	0.043981
-13500	0.091507
-13440	0.140836
-13380	0.052869
-13320	0.091291
-13260	0.187420
-13200	0.094908
-13140	0.079908
-13080	0.059428
-13020	0.166045
-12960	0.096430
-12900	0.149159
-12840	0.125022
-12780	0.084554
-12720	0.090708
-12660	0.068958
-12600	0.120513
-12540	0.115274
-12480	0.091239
-12420	0.177066
-12360	0.182285
-12300	0.133502
-12240	0.058811
-12180	0.051892
-12120	0.116364
-12060	0.128262
-12000	0.136330
-11940	0.144611
-11880	0.132407
-11820	0.151570
-11760	0.195127
-11700	0.112472
-11640	0.152465
-11580	0.149196
-11520	0.046623
-11460	0.144263
-11400	0.185847
-11340	0.158257
-11280	0.069844
-11220	0.106494
-11160	0.214694
-11100	0.072112
-11040	0.121807
-10980	0.072965
-10920	0.155267
-10860	0.130514
-10800	0.155582
-10740	0.164746
-10680	0.105994
-10620	0.081064
-10560	0.054849
-10500	0.101115
-10440	0.125322
-10380	0.072957
-10320	0.173834
-10260	0.178021
-10200	0.094853
-10140	0.187007
-10080	0.048621
-10020	0.154740
-9960	0.129085
-9900	0.083023
-9840	0.138893
-9780	0.140424
-9720	0.176569
-9660	0.104194
-9600	0.204607
-9540	0.174719
-9480	0.088808
-9420	0.139694
-9360	0.134009
-9300	0.063166
-9240	0.142994
-9180	0.120230
-9120	0.130127
-9060	0.140860
-9000	0.152711
