start	mean
-21600	0.171838
-21540	0.068415
-21480	0.183216
-21420	0.162214
-21360	0.095768
-21300	0.110442
-21240	0.233231
-21180	0.058556
-21120	0.206590
-21060	0.287945
-21000	-0.038667
-20940	0.192631
-20880	0.068283
-20820	0.283706
-20760	0.114844
-20700	0.084491
-20640	0.262269
-20580	0.099673
-20520	0.295691
-20460	0.283664
-20400	0.017461
-20340	0.096052
-20280	0.151168
-20220	0.324557
-20160	0.289287
-20100	-0.039071
-20040	-0.080907
-19980	0.213843
-19920	0.053304
-19860	0.130958
-19800	0.172444
-19740	0.000438
-19680	0.237256
-19620	0.260487
-19560	0.052721
-19500	0.286543
-19440	0.046967
-19380	0.104558
-19320	0.067126
-19260	0.214807
-19200	0.076895
-19140	0.097853
-19080	-0.040377
-19020	0.030082
-18960	0.026139
-18900	0.356960
-18840	0.178893
-18780	0.094559
-18720	0.001080
-18660	0.166293
-18600	0.082045
-18540	-0.169574
-18480	0.111662
-18420	-0.030324
-18360	0.145689
-18300	0.187572
-18240	0.256736
-18180	0.123044
-18120	0.140238
-18060	0.327771
-18000	0.157369
-17940	-0.047307
-17880	0.200981
-17820	0.099150
-17760	0.182261
-17700	0.193461
-17640	0.174634
-17580	0.080780
-17520	-0.052489
-17460	0.103595
-17400	-0.033529
-17340	0.191739
-17280	0.034707
-17220	0.133963
-17160	0.001363
-17100	0.119853
-17040	0.013244
-16980	0.047042
-16920	0.044765
-16860	0.210489
-16800	0.172076
-16740	0.145542
-16680	0.239929
-16620	0.152050
-16560	0.075232
-16500	-0.172833
-16440	0.249459
-16380	0.042707
-16320	0.135677
-16260	0.204690
-16200	0.089975
-16140	0.049847
-16080	0.253279
-16020	0.226495
-15960	0.061269
-15900	0.079073
-15840	0.189750
-15780	0.172940
-15720	0.286920
-15660	0.184995
-15600	0.034352
-15540	0.201989
-15480	0.192562
-15420	0.167993
-15360	-0.118631
-15300	0.311740
-15240	-0.014516
-15180	0.126648
-15120	0.118864
-15060	-0.078370
-15000	0.148100
-14940	0.257677
-14880	0.205239
-14820	0.160722
-14760	0.153254
-14700	0.125688
-14640	0.077800
-14580	0.171037
-14520	0.092050
-14460	0.079980
-14400	0.037739
