start	mean
-21600	0.156427
-21540	0.118337
-21480	0.024948
-21420	0.004218
-21360	0.029617
-21300	0.160854
-21240	0.022294
-21180	0.194167
-21120	0.182941
-21060	0.094448
-21000	0.148711
-20940	0.132915
-20880	0.186963
-20820	0.050241
-20760	0.134615
-20700	0.085209
-20640	0.181734
-20580	0.054598
-20520	0.121495
-20460	0.155359
-20400	0.124708
-20340	0.101448
-20280	0.191134
-20220	0.120746
-20160	0.054271
-20100	0.114755
-20040	0.090518
-19980	0.085916
-19920	0.059518
-19860	0.162572
-19800	0.105221
-19740	0.114122
-19680	0.110315
-19620	0.177693
-19560	0.094760
-19500	0.081428
-19440	0.195574
-19380	0.081864
-19320	0.125976
-19260	0.280058
-19200	0.068285
-19140	0.191969
-19080	0.102118
-19020	0.145946
-18960	0.049020
-18900	0.151307
-18840	0.116582
-18780	0.169100
-18720	0.200502
-18660	0.045308
-18600	0.123477
-18540	0.080239
-18480	0.057354
-18420	0.105749
-18360	0.089744
-18300	0.164048
-18240	0.211788
-18180	0.131811
-18120	0.208032
-18060	0.073574
-18000	0.136550
-17940	0.260784
-17880	0.153957
-17820	0.192649
-17760	0.125562
-17700	0.212608
-17640	0.056417
-17580	0.194591
-17520	0.188919
-17460	0.136036
-17400	0.150009
-17340	0.140240
-17280	0.192161
-17220	0.169187
-17160	0.072104
-17100	0.195334
-17040	0.095863
-16980	0.193556
-16920	0.203886
-16860	0.183605
-16800	0.152613
-16740	0.175173
-16680	0.120329
-16620	0.094836
-16560	0.242565
-16500	0.146158
-16440	0.158677
-16380	0.087375
-16320	0.146809
-16260	0.122337
-16200	0.080800
-16140	0.083341
-16080	0.189105
-16020	0.168996
-15960	0.265432
-15900	0.120390
-15840	0.182860
-15780	0.010932
-15720	0.186987
-15660	0.109182
-15600	0.070649
-15540	0.129338
-15480	0.173086
-15420	0.121638
-15360	0.232504
-15300	0.085002
-15240	0.093126
-15180	0.013430
-15120	0.215895
-15060	0.157971
-15000	0.170698
-14940	0.133767
-14880	0.183896
-14820	0.111761
-14760	0.142493
-14700	0.211776
-14640	-0.005919
-14580	0.139007
-14520	0.133860
-14460	0.166582
-14400	0.155476
-14340	0.135578
-14280	0.130677
-14220	0.170583
-14160	0.143562
-14100	0.146694
-14040	0.146080
-13980	0.184616
-13920	0.168456
-13860	0.119769
-13800	0.155323
-13740	0.128078
-13680	0.189137
-13620	0.072702
-13560	0.109056
-13500	0.054405
-13440	0.074775
-13380	0.059707
-13320	0.111893
-13260	0.089733
-13200	0.155286
-13140	0.028203
-13080	0.129793
-13020	0.143824
-12960	0.123895
-12900	0.174288
-12840	0.037793
-12780	0.022011
-12720	0.074209
-12660	0.100815
-12600	0.192402
-12540	0.128949
-12480	0.132904
-12420	0.162639
-12360	0.109789
-12300	0.017449
-12240	0.123692
-12180	0.154925
-12120	0.083458
-12060	0.116598
-12000	0.075798
-11940	0.117738
-11880	0.124380
-11820	0.116850
-11760	0.038393
-11700	0.072065
-11640	0.165320
-11580	0.130310
-11520	0.124528
-11460	0.112732
-11400	0.101414
-11340	0.068844
-11280	0.119565
-11220	0.211296
-11160	0.253604
-11100	0.118905
-11040	0.089815
-10980	0.138916
-10920	0.080956
-10860	0.207483
-10800	0.161693
-10740	0.145909
-10680	0.224844
-10620	0.054572
-10560	0.121592
-10500	0.058816
-10440	0.213342
-10380	0.165278
-10320	0.092674
-10260	0.169390
-10200	0.058233
-10140	0.201999
-10080	0.191829
-10020	0.180778
-9960	0.174903
-9900	0.009888
-9840	0.078648
-9780	0.128039
-9720	0.097687
-9660	0.109310
-9600	0.095673
-9540	0.187782
-9480	0.134137
-9420	0.136459
-9360	0.114657
-9300	0.154845
-9240	0.133537
-9180	0.105902
-9120	0.108952
-9060	0.141205
-9000	0.109644
-8940	0.012594
-8880	0.111009
-8820	0.111281
-8760	0.103638
-8700	0.129444
-8640	0.212673
-8580	0.129551
-8520	0.114757
-8460	0.046423
-8400	0.157772
-8340	0.144209
-8280	0.172148
-8220	0.179518
-8160	0.141775
-8100	0.120767
-8040	0.172981
-7980	0.267405
-7920	0.086551
-7860	0.112954
-7800	0.158930
-7740	0.221198
-7680	0.083579
-7620	0.114170
-7560	0.087010
-7500	0.116444
-7440	0.121631
-7380	0.138388
-7320	0.125359
-7260	0.138388
-7200	0.202537
-7140	0.130888
-7080	0.150545
-7020	0.234302
-6960	0.049930
-6900	0.162427
-6840	0.170464
-6780	0.106324
-6720	0.109020
-6660	0.173287
-6600	0.103814
-6540	0.088680
-6480	0.089492
-6420	0.149095
-6360	0.140589
-6300	0.170127
-6240	0.090018
-6180	0.134751
-6120	0.102488
-6060	0.080585
-6000	0.155096
