window	vader_2.5p	vader_50p	vader_97.5p	null_2.5p	null_50p	null_97.5p	lengths
-21300	0.087634	0.113015	0.137905	0.093845	0.118167	0.143370	1092
-20700	0.067937	0.092931	0.117767	0.091754	0.116538	0.140859	1140
-20100	0.085440	0.109766	0.134670	0.091096	0.115562	0.139687	1149
-19500	0.108971	0.132502	0.156487	0.091452	0.114724	0.138099	1198
-18900	0.106567	0.131011	0.155619	0.092377	0.116926	0.141414	1113
-18300	0.092258	0.114820	0.137854	0.094588	0.118229	0.141566	1226
-17700	0.114976	0.140941	0.166342	0.092042	0.116340	0.140404	1172
-17100	0.086738	0.109308	0.132576	0.095619	0.118327	0.141400	1266
-16500	0.098198	0.120934	0.143377	0.093566	0.116430	0.139546	1311
-15900	0.103856	0.126142	0.148614	0.095800	0.118461	0.140673	1332
-15300	0.100516	0.122491	0.144351	0.097227	0.119356	0.141510	1393
-14700	0.095327	0.116436	0.137195	0.097229	0.118412	0.139408	1467
-14100	0.082842	0.104621	0.126444	0.093606	0.115513	0.136630	1411
-13500	0.096404	0.117940	0.139602	0.096166	0.117949	0.139349	1421
-12900	0.100117	0.122665	0.144590	0.095212	0.116581	0.138076	1466
-12300	0.098626	0.118589	0.138868	0.098966	0.119864	0.141232	1502
-11700	0.108730	0.129972	0.150802	0.097944	0.119019	0.140139	1534
-11100	0.096929	0.117681	0.138107	0.094633	0.115201	0.135795	1611
-10500	0.101367	0.122819	0.143996	0.095511	0.117013	0.137949	1491
-9900	0.102611	0.122099	0.142004	0.098804	0.119041	0.139030	1735
-9300	0.088791	0.108459	0.128532	0.097651	0.117415	0.137637	1669
-8700	0.095430	0.114912	0.134278	0.101219	0.120485	0.140021	1804
-8100	0.094332	0.113513	0.132404	0.099746	0.118516	0.137365	1857
-7500	0.096716	0.115724	0.134728	0.097517	0.116704	0.135427	1884
-6900	0.085693	0.104257	0.122334	0.097279	0.115737	0.134240	1974
-6300	0.092220	0.109483	0.126743	0.100015	0.117320	0.134082	2263
-5700	0.087448	0.104310	0.121569	0.102096	0.118601	0.135503	2370
-5100	0.089217	0.106650	0.124127	0.103500	0.120377	0.136945	2389
-4500	0.095330	0.110591	0.126296	0.101407	0.116617	0.131852	2795
-3900	0.097632	0.112874	0.127859	0.102400	0.117304	0.132293	3043
-3300	0.080843	0.095210	0.109858	0.101784	0.116205	0.130555	3205
-2700	0.088195	0.102254	0.116218	0.102618	0.116552	0.129798	3575
-2100	0.091107	0.104028	0.117018	0.102200	0.114993	0.127490	4253
-1500	0.087954	0.100018	0.112356	0.103134	0.114910	0.126722	4893
-900	0.085106	0.095513	0.106125	0.106103	0.116383	0.126511	6359
-300	0.079546	0.088572	0.097430	0.107521	0.115930	0.124136	9682
300	0.108068	0.116351	0.124871	0.108972	0.116873	0.124826	10837
900	0.105647	0.115402	0.125197	0.109757	0.118819	0.128041	7719
1500	0.109628	0.120023	0.130602	0.106776	0.117096	0.127609	6240
2100	0.106586	0.117906	0.129193	0.104899	0.115988	0.127171	5385
2700	0.103698	0.116019	0.128349	0.105564	0.117487	0.129907	4587
3300	0.097231	0.110152	0.122975	0.104268	0.117013	0.129666	4200
3900	0.113109	0.127403	0.140864	0.103376	0.116714	0.129733	3697
4500	0.112038	0.126250	0.140543	0.102862	0.116638	0.130521	3401
5100	0.103748	0.117895	0.132470	0.100734	0.115270	0.129730	3277
5700	0.112105	0.126501	0.140840	0.100615	0.115131	0.129103	3214
6300	0.119219	0.134702	0.150402	0.100993	0.116486	0.131990	2888
6900	0.094116	0.110658	0.127157	0.101790	0.117614	0.133773	2613
7500	0.096649	0.113249	0.130032	0.102078	0.118319	0.134737	2598
8100	0.104500	0.121501	0.138422	0.100639	0.117232	0.134158	2397
8700	0.093904	0.111139	0.128947	0.098665	0.115981	0.132750	2250
9300	0.101969	0.120013	0.137964	0.098971	0.116846	0.134228	2096
9900	0.087044	0.104767	0.123423	0.095359	0.113186	0.130881	2143
10500	0.088481	0.107149	0.125182	0.097852	0.115902	0.133943	2062
11100	0.090766	0.109458	0.128088	0.095151	0.113571	0.131716	1991
11700	0.081630	0.100740	0.119838	0.095311	0.113974	0.132419	1938
12300	0.085985	0.105008	0.123788	0.096156	0.115056	0.133838	1920
12900	0.090410	0.110043	0.129653	0.097119	0.116509	0.135111	1840
13500	0.106403	0.125945	0.145684	0.095739	0.115316	0.134665	1798
14100	0.097065	0.116845	0.136229	0.095122	0.114751	0.134427	1748
14700	0.096487	0.116139	0.135857	0.097433	0.116482	0.136250	1733
15300	0.111204	0.130469	0.150145	0.095821	0.115938	0.135384	1734
15900	0.105343	0.124704	0.144006	0.094133	0.113832	0.133178	1703
16500	0.089563	0.110399	0.131153	0.095550	0.115412	0.135089	1662
17100	0.100956	0.121127	0.141336	0.094655	0.114819	0.134671	1645
17700	0.097468	0.118899	0.139727	0.094426	0.113884	0.134082	1659
18300	0.094704	0.115454	0.136297	0.093240	0.113251	0.133903	1582
18900	0.111571	0.132397	0.152841	0.095257	0.115896	0.136128	1573
19500	0.103759	0.124704	0.145793	0.093554	0.114371	0.135909	1490
20100	0.081373	0.102123	0.122784	0.098756	0.118488	0.138797	1555
20700	0.082030	0.103572	0.124221	0.095176	0.115913	0.136371	1573
21300	0.105743	0.127220	0.149028	0.097516	0.118976	0.140188	1474
