window	vader_2.5p	vader_50p	vader_97.5p	null_2.5p	null_50p	null_97.5p	lengths
-21300	0.092061	0.105875	0.120003	0.100876	0.114778	0.128696	3466
-20700	0.092319	0.105588	0.118821	0.098934	0.112644	0.126254	3662
-20100	0.096227	0.109888	0.123554	0.100793	0.114463	0.127892	3589
-19500	0.106423	0.119633	0.133327	0.100649	0.113827	0.127122	3736
-18900	0.108430	0.121607	0.134974	0.099997	0.113216	0.126976	3630
-18300	0.103276	0.116309	0.129408	0.099190	0.112343	0.125364	3899
-17700	0.107304	0.120653	0.133709	0.099537	0.112741	0.126358	3779
-17100	0.097765	0.110962	0.123850	0.099861	0.112762	0.126377	3799
-16500	0.096717	0.109563	0.122717	0.100632	0.113552	0.126891	3902
-15900	0.101755	0.114468	0.127462	0.101051	0.113502	0.125989	4107
-15300	0.099532	0.111989	0.124587	0.100622	0.113144	0.125777	4211
-14700	0.100517	0.112844	0.125000	0.100395	0.112703	0.125041	4474
-14100	0.091198	0.103701	0.116236	0.100932	0.113401	0.125813	4367
-13500	0.097346	0.109489	0.121735	0.102031	0.114495	0.126849	4526
-12900	0.095124	0.107163	0.119166	0.101056	0.113057	0.125228	4582
-12300	0.100430	0.112244	0.123841	0.100881	0.112892	0.124907	4763
-11700	0.107163	0.119008	0.130579	0.101868	0.113609	0.125222	4859
-11100	0.108958	0.120671	0.132643	0.101421	0.112967	0.124356	4972
-10500	0.108946	0.120516	0.131951	0.101653	0.113094	0.124670	4964
-9900	0.110940	0.122194	0.133360	0.102168	0.113250	0.124301	5404
-9300	0.097252	0.108195	0.119074	0.101324	0.112275	0.123655	5418
-8700	0.100438	0.111258	0.122080	0.103614	0.114181	0.124961	5575
-8100	0.103055	0.113678	0.124780	0.101753	0.112549	0.123063	5872
-7500	0.091634	0.102059	0.112643	0.101931	0.112244	0.122848	6206
-6900	0.090690	0.100800	0.110997	0.102197	0.112656	0.122976	6428
-6300	0.095553	0.105631	0.115193	0.102776	0.112488	0.122214	6929
-5700	0.091751	0.101597	0.111123	0.103197	0.112866	0.122352	7301
-5100	0.097057	0.106636	0.115958	0.103673	0.113252	0.122502	7636
-4500	0.095823	0.104728	0.113701	0.103493	0.112562	0.121570	8439
-3900	0.095669	0.104217	0.112807	0.103849	0.112356	0.121047	9238
-3300	0.091019	0.099493	0.108119	0.103547	0.112192	0.120586	9721
-2700	0.090974	0.099063	0.106850	0.104968	0.112767	0.120710	10828
-2100	0.090519	0.097997	0.105369	0.105424	0.112647	0.119730	13081
-1500	0.092140	0.098964	0.105685	0.105181	0.112084	0.118317	15479
-900	0.086152	0.092205	0.098237	0.106575	0.112392	0.118179	19978
-300	0.076434	0.081479	0.086303	0.107432	0.112158	0.116730	31377
300	0.099566	0.104443	0.109180	0.108285	0.112712	0.117208	32575
900	0.106652	0.112496	0.118370	0.107242	0.112960	0.118758	20632
1500	0.108586	0.115447	0.122236	0.106331	0.112685	0.119240	15937
2100	0.104779	0.112011	0.119195	0.105441	0.112643	0.119665	13225
2700	0.108319	0.116138	0.124218	0.104259	0.112167	0.119904	11220
3300	0.103159	0.111498	0.119843	0.104002	0.112480	0.120629	9893
3900	0.102330	0.111156	0.120001	0.103751	0.112448	0.121076	8971
4500	0.105266	0.114277	0.123343	0.103137	0.112063	0.121091	8211
5100	0.097895	0.107066	0.116258	0.102729	0.111852	0.121205	7797
5700	0.113636	0.123231	0.132509	0.102908	0.112483	0.122064	7492
6300	0.114124	0.124220	0.134445	0.102156	0.112288	0.122140	6859
6900	0.103149	0.113790	0.124494	0.101534	0.112122	0.122582	6354
7500	0.101565	0.111855	0.122271	0.102546	0.112860	0.123279	6207
8100	0.106491	0.117226	0.127962	0.100257	0.111095	0.121709	5800
8700	0.101599	0.112972	0.124087	0.099937	0.111151	0.122389	5386
9300	0.100960	0.112130	0.123239	0.100290	0.111752	0.122991	5337
9900	0.102821	0.114458	0.125683	0.099806	0.111436	0.122919	5143
10500	0.099497	0.111235	0.122726	0.099711	0.111360	0.122807	4998
11100	0.099530	0.111417	0.122882	0.099057	0.110660	0.122370	4780
11700	0.096317	0.108016	0.120207	0.099217	0.110989	0.122544	4719
12300	0.099496	0.111170	0.123358	0.099278	0.111451	0.123380	4499
12900	0.093956	0.106060	0.118593	0.100212	0.112862	0.124939	4516
13500	0.096861	0.109361	0.121806	0.099393	0.111779	0.124174	4404
14100	0.099404	0.112087	0.124851	0.098791	0.111443	0.123704	4243
14700	0.103680	0.116133	0.128716	0.099150	0.111573	0.124214	4175
15300	0.106252	0.119203	0.131919	0.098031	0.110994	0.124112	4056
15900	0.107781	0.120522	0.133321	0.098989	0.111835	0.125089	4013
16500	0.099171	0.112162	0.125095	0.098704	0.111770	0.124917	3942
17100	0.107737	0.120580	0.133970	0.097722	0.110556	0.123825	3893
17700	0.099465	0.113188	0.126772	0.097464	0.110840	0.124547	3739
18300	0.110466	0.124386	0.138179	0.096641	0.110368	0.124270	3592
18900	0.099594	0.113324	0.127109	0.095989	0.109535	0.122882	3592
19500	0.111083	0.125399	0.139426	0.096067	0.110021	0.123615	3454
20100	0.089941	0.103943	0.117693	0.097448	0.111620	0.125704	3428
20700	0.087036	0.100696	0.114756	0.098004	0.111922	0.125551	3514
21300	0.103906	0.118517	0.132299	0.098571	0.112734	0.126568	3397
