window	vader_2.5p	vader_50p	vader_97.5p	null_2.5p	null_50p	null_97.5p	lengths
-21300	0.064479	0.085487	0.105737	0.090746	0.110931	0.131783	1536
-20700	0.098056	0.117704	0.137212	0.090791	0.110858	0.130838	1638
-20100	0.086842	0.108111	0.130047	0.090826	0.111639	0.132456	1510
-19500	0.086890	0.107871	0.128759	0.093622	0.113665	0.134118	1588
-18900	0.101740	0.121732	0.141510	0.092711	0.112090	0.131892	1654
-18300	0.094899	0.115131	0.135346	0.089497	0.108704	0.128470	1723
-17700	0.090381	0.109820	0.129213	0.088554	0.108356	0.128256	1713
-17100	0.096958	0.116128	0.135371	0.089595	0.109648	0.129609	1665
-16500	0.085343	0.105046	0.124378	0.089913	0.109030	0.129093	1665
-15900	0.090989	0.109395	0.128647	0.092501	0.111252	0.130483	1859
-15300	0.095411	0.114832	0.134176	0.092459	0.111512	0.131252	1787
-14700	0.092053	0.110714	0.129243	0.091752	0.109819	0.128369	1931
-14100	0.074635	0.093501	0.112317	0.090689	0.109386	0.127895	1933
-13500	0.075928	0.094201	0.111950	0.093780	0.111695	0.129553	2071
-12900	0.085160	0.103077	0.120650	0.090387	0.108385	0.126579	2019
-12300	0.098919	0.116745	0.134700	0.091823	0.109601	0.126630	2130
-11700	0.100044	0.117515	0.134824	0.094487	0.112046	0.129489	2161
-11100	0.102666	0.120205	0.137548	0.093340	0.110666	0.127878	2256
-10500	0.107414	0.124695	0.141631	0.094263	0.111352	0.128518	2226
-9900	0.108200	0.124807	0.141707	0.094223	0.111236	0.128047	2335
-9300	0.096179	0.112926	0.129347	0.092503	0.108998	0.125424	2461
-8700	0.098790	0.114985	0.131554	0.093426	0.109672	0.125884	2487
-8100	0.095488	0.111636	0.127522	0.093750	0.109795	0.125262	2636
-7500	0.072008	0.087233	0.102916	0.094130	0.109072	0.124416	2868
-6900	0.091483	0.106947	0.122011	0.094519	0.109669	0.124640	2872
-6300	0.085464	0.100145	0.114687	0.097073	0.111621	0.126282	3105
-5700	0.092003	0.106595	0.121285	0.094566	0.109218	0.123703	3193
-5100	0.089867	0.104192	0.118094	0.096354	0.110267	0.123962	3431
-4500	0.083127	0.096437	0.109925	0.096560	0.109470	0.122556	3822
-3900	0.084378	0.097216	0.109828	0.094139	0.107010	0.119671	4027
-3300	0.086833	0.099898	0.112551	0.095625	0.108189	0.120696	4236
-2700	0.090474	0.102145	0.114097	0.095513	0.107495	0.119276	4658
-2100	0.080031	0.091307	0.102350	0.098185	0.108961	0.120033	5586
-1500	0.087417	0.097662	0.107944	0.098255	0.108125	0.118254	6687
-900	0.079096	0.088442	0.097764	0.098557	0.107338	0.116087	8679
-300	0.071331	0.078844	0.086528	0.099725	0.106576	0.113653	13159
300	0.093865	0.101338	0.108656	0.102343	0.109405	0.116547	12961
900	0.101149	0.110837	0.120325	0.099835	0.109312	0.118571	7657
1500	0.102972	0.114059	0.125588	0.098123	0.108919	0.119778	5680
2100	0.095254	0.107675	0.120001	0.095445	0.107282	0.119452	4601
2700	0.098047	0.111082	0.124963	0.095247	0.108202	0.120952	3976
3300	0.093919	0.107744	0.122095	0.094633	0.108473	0.122461	3374
3900	0.083337	0.098097	0.112555	0.093393	0.107565	0.122056	3181
4500	0.084870	0.100419	0.116149	0.092659	0.108076	0.123577	2816
5100	0.086337	0.102290	0.118244	0.092670	0.108193	0.123853	2675
5700	0.117340	0.133862	0.150039	0.093244	0.109731	0.126158	2528
6300	0.091663	0.108961	0.125996	0.093693	0.110367	0.127183	2344
6900	0.086373	0.103873	0.121585	0.090988	0.108134	0.125470	2211
7500	0.086794	0.104497	0.121879	0.093167	0.110917	0.128436	2100
8100	0.103858	0.121881	0.139720	0.089354	0.107399	0.125929	1987
8700	0.092056	0.110571	0.130108	0.087887	0.107085	0.126332	1794
9300	0.087586	0.107150	0.126513	0.087035	0.106525	0.125860	1789
9900	0.109173	0.129053	0.148038	0.088374	0.108039	0.127804	1718
10500	0.094979	0.114414	0.134206	0.084107	0.104189	0.123658	1656
11100	0.081917	0.102524	0.122729	0.085166	0.105630	0.126341	1568
11700	0.084448	0.105413	0.125829	0.086054	0.106433	0.126796	1597
12300	0.082588	0.103674	0.125219	0.085526	0.106707	0.128433	1473
12900	0.080670	0.101907	0.123071	0.088458	0.109121	0.130103	1526
13500	0.082917	0.104452	0.125475	0.085320	0.106462	0.128069	1450
14100	0.084775	0.106499	0.128097	0.085857	0.106843	0.128032	1399
14700	0.104918	0.126427	0.148284	0.087185	0.108881	0.131228	1375
15300	0.093980	0.117052	0.140111	0.080259	0.103179	0.126035	1296
15900	0.092027	0.114499	0.137077	0.089428	0.111267	0.134068	1339
16500	0.082432	0.104838	0.127531	0.085184	0.107874	0.130930	1291
17100	0.100968	0.122869	0.144968	0.086546	0.108893	0.131366	1314
17700	0.092063	0.116313	0.140432	0.085112	0.108719	0.132653	1180
18300	0.116652	0.140406	0.164590	0.085369	0.108368	0.131417	1210
18900	0.067657	0.092169	0.116641	0.081217	0.105431	0.130340	1131
19500	0.093080	0.117633	0.142167	0.082024	0.107328	0.132142	1087
20100	0.078847	0.103677	0.128229	0.080934	0.105218	0.129825	1105
20700	0.089464	0.113025	0.136743	0.084648	0.108251	0.132203	1166
21300	0.078938	0.102968	0.127225	0.085276	0.109420	0.132640	1174
