window	vader_2.5p	vader_50p	vader_97.5p	null_2.5p	null_50p	null_97.5p	lengths
-21300	0.073892	0.097546	0.120497	0.087676	0.111433	0.134899	1221
-20700	0.101233	0.123452	0.145831	0.090363	0.112920	0.136150	1273
-20100	0.093782	0.118174	0.143100	0.089493	0.113121	0.136640	1204
-19500	0.090813	0.113964	0.136667	0.093246	0.115980	0.139015	1256
-18900	0.096656	0.118654	0.140412	0.093115	0.115357	0.137926	1312
-18300	0.086282	0.108552	0.131124	0.086368	0.108873	0.131302	1362
-17700	0.091203	0.112628	0.134060	0.087091	0.109126	0.131160	1367
-17100	0.095135	0.116542	0.138302	0.088068	0.110445	0.132903	1321
-16500	0.081522	0.103940	0.125638	0.089112	0.111021	0.133174	1335
-15900	0.091913	0.113135	0.133103	0.092164	0.113742	0.134300	1485
-15300	0.099844	0.121121	0.142121	0.092274	0.113429	0.135105	1427
-14700	0.086399	0.107897	0.128765	0.092392	0.113011	0.133696	1529
-14100	0.076434	0.097443	0.118285	0.090883	0.111235	0.131804	1564
-13500	0.074261	0.094226	0.114274	0.093631	0.113948	0.133932	1680
-12900	0.090752	0.110666	0.130422	0.091173	0.111221	0.131592	1635
-12300	0.098833	0.118526	0.138779	0.093339	0.112961	0.132725	1706
-11700	0.101174	0.120271	0.139526	0.091803	0.111892	0.131348	1718
-11100	0.102827	0.122810	0.142200	0.093250	0.112545	0.131872	1817
-10500	0.108318	0.127712	0.146898	0.095519	0.114738	0.134255	1770
-9900	0.111994	0.130225	0.148526	0.093576	0.112298	0.130770	1895
-9300	0.101825	0.120634	0.139527	0.094363	0.112885	0.131238	1948
-8700	0.101688	0.120087	0.138823	0.093742	0.111793	0.130252	1956
-8100	0.094868	0.112811	0.130902	0.092936	0.110373	0.128216	2106
-7500	0.073951	0.091048	0.107365	0.091496	0.108291	0.125138	2329
-6900	0.099979	0.116639	0.133164	0.094544	0.111515	0.128468	2355
-6300	0.090574	0.107116	0.123123	0.096921	0.113692	0.130089	2481
-5700	0.090802	0.107316	0.123656	0.096762	0.113183	0.129412	2547
-5100	0.092950	0.108655	0.124289	0.096983	0.112780	0.128359	2736
-4500	0.084819	0.099969	0.114747	0.096794	0.111371	0.125741	3060
-3900	0.086372	0.100450	0.114340	0.093980	0.108291	0.122493	3263
-3300	0.088951	0.103361	0.116941	0.096378	0.110221	0.124300	3429
-2700	0.089805	0.103579	0.117102	0.095510	0.109257	0.122278	3729
-2100	0.082105	0.094877	0.107387	0.098066	0.109975	0.121976	4616
-1500	0.083884	0.095468	0.107286	0.098190	0.109345	0.120774	5417
-900	0.081222	0.091330	0.101563	0.100106	0.109779	0.119406	7012
-300	0.070458	0.078830	0.087107	0.099950	0.107765	0.115555	10697
300	0.097348	0.105622	0.113652	0.103100	0.110892	0.119058	10700
900	0.101528	0.111794	0.122511	0.099782	0.110142	0.120148	6608
1500	0.104592	0.116964	0.128930	0.099517	0.111071	0.122634	4960
2100	0.093050	0.106478	0.119757	0.095677	0.108546	0.121529	4024
2700	0.097977	0.112137	0.126783	0.095951	0.109774	0.123658	3438
3300	0.096214	0.111592	0.126908	0.094954	0.109842	0.124909	2905
3900	0.081863	0.097314	0.112890	0.092281	0.107774	0.123249	2792
4500	0.085646	0.102553	0.119327	0.092154	0.108388	0.124673	2463
5100	0.088787	0.105490	0.122533	0.093296	0.110083	0.127076	2344
5700	0.117557	0.134692	0.152346	0.092797	0.110423	0.127989	2199
6300	0.090081	0.108307	0.126482	0.092396	0.110217	0.127921	2035
6900	0.084642	0.103865	0.123003	0.090395	0.109478	0.128056	1901
7500	0.088525	0.107375	0.126030	0.093305	0.112373	0.131284	1843
8100	0.098503	0.117693	0.137126	0.088238	0.108196	0.127853	1736
8700	0.087593	0.107801	0.127704	0.088038	0.108639	0.129212	1560
9300	0.081883	0.103809	0.125049	0.087266	0.108147	0.128984	1546
9900	0.113394	0.134262	0.155497	0.089083	0.110197	0.131107	1472
10500	0.091747	0.112482	0.133441	0.084929	0.106017	0.127227	1443
11100	0.084296	0.106537	0.128535	0.085718	0.108421	0.130680	1334
11700	0.085071	0.107782	0.130305	0.086018	0.107989	0.130114	1374
12300	0.078961	0.101875	0.124851	0.085785	0.108473	0.130924	1254
12900	0.088792	0.111735	0.135127	0.089972	0.112521	0.135224	1289
13500	0.079522	0.102545	0.125768	0.084798	0.107315	0.130744	1244
14100	0.092037	0.115343	0.138840	0.086054	0.109535	0.133126	1201
14700	0.104558	0.128436	0.152216	0.085513	0.108957	0.132498	1209
15300	0.098339	0.123100	0.148080	0.080598	0.105180	0.129751	1123
15900	0.092204	0.116775	0.142007	0.087911	0.112163	0.136132	1160
16500	0.077793	0.102202	0.125997	0.083079	0.107874	0.132070	1118
17100	0.094174	0.118744	0.142668	0.088101	0.112099	0.137076	1119
17700	0.109808	0.135595	0.161657	0.086519	0.112578	0.138385	993
18300	0.113304	0.139568	0.165993	0.084979	0.109932	0.136404	1031
18900	0.078619	0.104964	0.131603	0.081307	0.107188	0.133942	963
19500	0.094359	0.121338	0.147794	0.081598	0.108090	0.134318	936
20100	0.073231	0.099989	0.125463	0.079497	0.105859	0.131508	969
20700	0.086808	0.112257	0.138340	0.084417	0.110139	0.135452	998
21300	0.082162	0.107193	0.132004	0.084374	0.109930	0.134691	1028
