window	vader_2.5p	vader_50p	vader_97.5p	null_2.5p	null_50p	null_97.5p	lengths
-21300	-0.005266	0.039370	0.084250	0.057514	0.100204	0.142638	315
-20700	0.054957	0.097817	0.140071	0.063608	0.103778	0.144402	365
-20100	0.023101	0.068612	0.114886	0.056947	0.102037	0.147015	306
-19500	0.042113	0.085717	0.129898	0.050077	0.093670	0.136593	332
-18900	0.090591	0.133166	0.177748	0.069467	0.111411	0.153106	342
-18300	0.096847	0.140748	0.183309	0.059722	0.101043	0.141860	361
-17700	0.053869	0.098075	0.141409	0.059162	0.099853	0.141062	346
-17100	0.072275	0.113109	0.153854	0.068142	0.109152	0.149979	344
-16500	0.067619	0.109211	0.150406	0.057621	0.099407	0.141343	330
-15900	0.053752	0.095215	0.136846	0.062394	0.102608	0.142521	374
-15300	0.048360	0.090522	0.131975	0.056956	0.097199	0.137881	360
-14700	0.081274	0.122819	0.163952	0.059312	0.098550	0.136889	402
-14100	0.031683	0.075537	0.118694	0.053525	0.093657	0.135456	369
-13500	0.053028	0.094914	0.135835	0.063017	0.100810	0.139049	391
-12900	0.030831	0.071962	0.113519	0.066496	0.105767	0.144299	384
-12300	0.069640	0.109465	0.148595	0.069444	0.105777	0.143726	424
-11700	0.067604	0.104853	0.143157	0.060527	0.096058	0.132426	443
-11100	0.071455	0.110387	0.148748	0.062647	0.099115	0.136345	439
-10500	0.073309	0.111580	0.150018	0.063870	0.099179	0.135067	456
-9900	0.062434	0.101311	0.140234	0.069496	0.106231	0.143498	440
-9300	0.047625	0.083382	0.118652	0.064405	0.098002	0.131030	513
-8700	0.060012	0.096356	0.132238	0.067517	0.100462	0.134708	531
-8100	0.071666	0.106144	0.141081	0.067253	0.100803	0.134022	530
-7500	0.035476	0.071273	0.107179	0.065291	0.097858	0.131205	539
-6900	0.028285	0.063266	0.099044	0.064167	0.098043	0.132076	517
-6300	0.040527	0.072518	0.104130	0.069930	0.100802	0.131132	624
-5700	0.070660	0.104202	0.136585	0.068776	0.098700	0.127804	646
-5100	0.054546	0.085676	0.116123	0.075463	0.104916	0.133798	695
-4500	0.052956	0.082599	0.113479	0.066630	0.094121	0.122812	762
-3900	0.053371	0.083488	0.112038	0.068045	0.095980	0.123830	764
-3300	0.056617	0.084277	0.113318	0.072191	0.099953	0.127743	807
-2700	0.069765	0.096106	0.122486	0.074160	0.099574	0.124604	929
-2100	0.046532	0.074274	0.102118	0.069736	0.094629	0.119702	970
-1500	0.084777	0.106904	0.129707	0.078213	0.100013	0.121922	1270
-900	0.055395	0.075936	0.096990	0.080287	0.099136	0.118591	1667
-300	0.060752	0.078257	0.096285	0.082157	0.097834	0.113251	2462
300	0.062568	0.080597	0.098553	0.083415	0.099843	0.116235	2261
900	0.078576	0.103413	0.129222	0.083018	0.106614	0.130934	1049
1500	0.064852	0.094332	0.123563	0.068086	0.096838	0.125464	720
2100	0.080915	0.116141	0.150929	0.073243	0.105328	0.137213	577
2700	0.067454	0.105016	0.141515	0.061283	0.094955	0.127718	538
3300	0.046771	0.084098	0.121368	0.064252	0.099880	0.135124	469
3900	0.063846	0.105144	0.144944	0.056998	0.095411	0.133721	389
4500	0.042548	0.085347	0.129356	0.058310	0.099679	0.143064	353
5100	0.036363	0.081253	0.124744	0.056622	0.099081	0.142960	331
5700	0.079786	0.126885	0.174002	0.064876	0.107978	0.149753	329
6300	0.065217	0.112916	0.160098	0.070522	0.113237	0.156337	309
6900	0.055824	0.104052	0.152967	0.039054	0.082475	0.125649	310
7500	0.035136	0.084720	0.131865	0.050930	0.100788	0.149693	257
8100	0.102927	0.150161	0.199328	0.049996	0.098320	0.147096	251
8700	0.078139	0.130952	0.183303	0.063946	0.112311	0.162420	234
9300	0.079845	0.128730	0.177011	0.058048	0.107764	0.158783	243
9900	0.045780	0.096933	0.147026	0.044161	0.094213	0.144425	246
10500	0.072520	0.126632	0.181397	0.032341	0.086566	0.139013	213
11100	0.027997	0.079435	0.131244	0.054675	0.104169	0.152994	234
11700	0.035133	0.090538	0.145029	0.054090	0.108024	0.159796	223
12300	0.054338	0.112133	0.169412	0.051577	0.105335	0.157953	219
12900	-0.012550	0.046373	0.104543	0.029034	0.081481	0.132820	237
13500	0.057642	0.114666	0.171538	0.039495	0.094591	0.148760	206
14100	-0.003371	0.051306	0.105714	0.039884	0.095046	0.150769	198
14700	0.052936	0.114172	0.172693	0.063328	0.124769	0.184402	166
15300	0.018499	0.078166	0.137242	0.029546	0.086547	0.143755	173
15900	0.042769	0.097715	0.152847	0.049426	0.107290	0.165180	179
16500	0.065927	0.125175	0.183947	0.058481	0.113709	0.168099	173
17100	0.088335	0.148049	0.206098	0.046915	0.101909	0.156958	195
17700	-0.053347	0.014188	0.078966	0.031925	0.088564	0.145895	187
18300	0.084692	0.145781	0.206345	0.045582	0.104212	0.161509	179
18900	-0.045610	0.018220	0.084474	0.027885	0.087454	0.146333	168
19500	0.023471	0.095898	0.167936	0.050238	0.114170	0.179275	151
20100	0.069366	0.130924	0.192804	0.022625	0.086829	0.152938	136
20700	0.058845	0.118490	0.179137	0.050264	0.109739	0.168342	168
21300	0.003461	0.073687	0.143983	0.061306	0.125408	0.187990	146
