window	vader_2.5p	vader_50p	vader_97.5p	null_2.5p	null_50p	null_97.5p	lengths
-21300	0.105942	0.133994	0.162214	0.091672	0.118928	0.146339	838
-20700	0.072075	0.099391	0.125805	0.084286	0.111353	0.138156	884
-20100	0.086255	0.113167	0.139829	0.092547	0.118275	0.144787	930
-19500	0.096558	0.123173	0.149184	0.084183	0.110719	0.136331	950
-18900	0.080649	0.108488	0.135939	0.080643	0.107853	0.135322	863
-18300	0.093167	0.120341	0.147384	0.083894	0.110403	0.135934	950
-17700	0.087015	0.114930	0.142130	0.087127	0.113939	0.141010	894
-17100	0.075190	0.102956	0.130456	0.084783	0.111647	0.139212	868
-16500	0.074446	0.101816	0.128985	0.083908	0.110403	0.136657	926
-15900	0.080035	0.108158	0.135928	0.088095	0.114832	0.141476	916
-15300	0.067489	0.093060	0.118344	0.080440	0.105829	0.130653	1031
-14700	0.087982	0.112006	0.136318	0.086306	0.110615	0.135217	1076
-14100	0.098187	0.122748	0.147327	0.091462	0.116610	0.141745	1023
-13500	0.103293	0.127831	0.152490	0.091525	0.116710	0.141035	1034
-12900	0.070237	0.093753	0.116992	0.086252	0.110228	0.134158	1097
-12300	0.070144	0.094718	0.119095	0.087482	0.111745	0.136119	1131
-11700	0.083116	0.107104	0.131602	0.086502	0.110472	0.133800	1164
-11100	0.101624	0.125746	0.150211	0.086577	0.110494	0.134888	1105
-10500	0.087643	0.110704	0.133880	0.089506	0.112130	0.135472	1247
-9900	0.094282	0.117416	0.139904	0.088866	0.111495	0.133337	1334
-9300	0.076305	0.099047	0.121369	0.087922	0.109978	0.132329	1288
-8700	0.075770	0.098886	0.121512	0.094784	0.117338	0.139925	1284
-8100	0.096268	0.118475	0.140729	0.091145	0.113104	0.134762	1379
-7500	0.092383	0.113934	0.135641	0.088578	0.109764	0.130589	1454
-6900	0.064736	0.085452	0.106567	0.088683	0.108777	0.129193	1582
-6300	0.090730	0.111182	0.132505	0.089994	0.110366	0.130586	1561
-5700	0.069442	0.088689	0.108557	0.091503	0.111047	0.130421	1738
-5100	0.092062	0.111148	0.129851	0.095125	0.113671	0.132209	1816
-4500	0.093998	0.113264	0.132677	0.094569	0.113169	0.132121	1822
-3900	0.087788	0.105735	0.123559	0.091051	0.108204	0.125535	2168
-3300	0.087988	0.104939	0.121961	0.095090	0.111869	0.128750	2280
-2700	0.072746	0.089224	0.105456	0.097596	0.112937	0.128791	2595
-2100	0.087034	0.101706	0.116763	0.096064	0.110398	0.124757	3242
-1500	0.086472	0.099352	0.113075	0.097643	0.110671	0.123764	3899
-900	0.082387	0.094325	0.106289	0.100549	0.112049	0.123637	4940
-300	0.068436	0.077764	0.087115	0.101462	0.110274	0.118979	8536
300	0.085268	0.094378	0.103560	0.103727	0.112372	0.120860	8777
900	0.098932	0.110384	0.122074	0.101583	0.112714	0.123851	5256
1500	0.096761	0.110004	0.123464	0.099097	0.112112	0.125033	4017
2100	0.093541	0.108171	0.123117	0.097996	0.112462	0.126325	3239
2700	0.107722	0.123744	0.138809	0.097566	0.113086	0.128728	2657
3300	0.102359	0.119273	0.136268	0.094580	0.111297	0.128047	2319
3900	0.084459	0.102515	0.120548	0.094378	0.111757	0.129583	2093
4500	0.095461	0.113530	0.131466	0.094205	0.112237	0.130511	1994
5100	0.076021	0.094393	0.113005	0.093699	0.112559	0.130996	1845
5700	0.082551	0.102102	0.121316	0.094927	0.114252	0.133632	1750
6300	0.106366	0.127112	0.147745	0.090858	0.111206	0.131024	1627
6900	0.111749	0.132849	0.153778	0.093419	0.113775	0.134267	1530
7500	0.098323	0.119108	0.140115	0.093235	0.114188	0.134736	1509
8100	0.082899	0.103246	0.124331	0.086590	0.108167	0.130308	1416
8700	0.097189	0.118633	0.140395	0.092774	0.114241	0.137090	1342
9300	0.086020	0.107584	0.129067	0.089131	0.110450	0.131781	1452
9900	0.088316	0.111508	0.134077	0.088739	0.111376	0.133900	1282
10500	0.091502	0.113899	0.136687	0.088839	0.111283	0.133591	1280
11100	0.102635	0.126314	0.149657	0.085390	0.107663	0.130837	1221
11700	0.100778	0.124273	0.148425	0.088851	0.112471	0.135377	1184
12300	0.108532	0.131961	0.155701	0.087344	0.111236	0.136293	1106
12900	0.081644	0.105252	0.129190	0.087546	0.111431	0.134918	1150
13500	0.066133	0.089717	0.113773	0.086735	0.110320	0.133885	1156
14100	0.087416	0.111972	0.136119	0.089399	0.113684	0.138618	1096
14700	0.078250	0.102906	0.127714	0.084478	0.109476	0.134473	1067
15300	0.079096	0.103089	0.127351	0.085098	0.110480	0.135808	1026
15900	0.096195	0.122140	0.147672	0.085595	0.110932	0.136265	971
16500	0.099004	0.124291	0.149426	0.090410	0.115442	0.140311	989
17100	0.090654	0.116122	0.141703	0.084434	0.110829	0.137769	934
17700	0.072282	0.098808	0.125582	0.080299	0.106503	0.134289	900
18300	0.088247	0.117688	0.147496	0.081108	0.109959	0.137963	800
18900	0.081240	0.107326	0.132981	0.080911	0.108163	0.135160	888
19500	0.108675	0.135769	0.162982	0.081412	0.107625	0.135258	877
20100	0.079224	0.108086	0.137191	0.078438	0.108163	0.137421	768
20700	0.047476	0.076195	0.105067	0.085530	0.114981	0.144164	775
21300	0.094134	0.124566	0.155041	0.079666	0.109294	0.139124	749
