window	vader_2.5p	vader_50p	vader_97.5p	null_2.5p	null_50p	null_97.5p	lengths
-21300	0.065795	0.102520	0.139966	0.095628	0.131785	0.168308	448
-20700	0.077871	0.116789	0.154958	0.093288	0.130850	0.169548	414
-20100	0.082472	0.118065	0.154028	0.095635	0.132738	0.169125	429
-19500	0.104433	0.146872	0.189560	0.101833	0.141815	0.181421	359
-18900	0.099011	0.139877	0.180010	0.095726	0.134535	0.172584	400
-18300	0.089538	0.127512	0.165254	0.095064	0.132998	0.169797	435
-17700	0.079798	0.115407	0.151021	0.099762	0.133967	0.169799	485
-17100	0.117338	0.152573	0.187292	0.095518	0.131187	0.166486	477
-16500	0.080208	0.114553	0.150171	0.095004	0.128899	0.161865	537
-15900	0.101448	0.138950	0.175019	0.096742	0.131389	0.165469	506
-15300	0.082056	0.118775	0.155421	0.096683	0.130859	0.164894	503
-14700	0.088867	0.122595	0.156191	0.087577	0.122639	0.157020	528
-14100	0.076690	0.111052	0.145607	0.101424	0.136550	0.171518	484
-13500	0.085512	0.122792	0.160025	0.101143	0.135656	0.170156	493
-12900	0.071407	0.105175	0.138629	0.100047	0.133128	0.165590	550
-12300	0.113913	0.149447	0.184876	0.104084	0.137048	0.170155	543
-11700	0.121672	0.155767	0.190101	0.096345	0.129409	0.162253	556
-11100	0.127797	0.159400	0.192317	0.104187	0.136808	0.169274	554
-10500	0.098034	0.130804	0.163006	0.095428	0.128037	0.161568	552
-9900	0.094669	0.127611	0.160084	0.110313	0.143505	0.176062	557
-9300	0.117402	0.149624	0.182160	0.098093	0.129555	0.161673	607
-8700	0.096183	0.130068	0.163353	0.101224	0.133203	0.164728	600
-8100	0.101230	0.131575	0.161638	0.105870	0.133759	0.162335	725
-7500	0.125667	0.153463	0.181752	0.108568	0.137132	0.165016	758
-6900	0.089389	0.115905	0.142813	0.107045	0.133916	0.159339	859
-6300	0.085716	0.113109	0.141182	0.109615	0.135890	0.162523	831
-5700	0.118106	0.145880	0.173799	0.107141	0.133649	0.160234	864
-5100	0.113361	0.138998	0.163855	0.109110	0.134711	0.160404	902
-4500	0.094093	0.119971	0.145766	0.111520	0.136930	0.161903	900
-3900	0.094771	0.120326	0.146466	0.110991	0.136249	0.161354	941
-3300	0.111135	0.134812	0.158897	0.108192	0.131037	0.154508	1099
-2700	0.122004	0.145018	0.168087	0.111673	0.134545	0.157568	1199
-2100	0.118479	0.138759	0.159059	0.113980	0.134097	0.154057	1458
-1500	0.141767	0.160108	0.178628	0.118203	0.136639	0.154677	1815
-900	0.120376	0.136803	0.153524	0.118637	0.134555	0.150623	2372
-300	0.163109	0.176007	0.188572	0.126256	0.138242	0.150392	3981
300	0.161222	0.172529	0.183978	0.126345	0.137189	0.147938	5091
900	0.144876	0.158165	0.171314	0.123710	0.136386	0.149107	3613
1500	0.140805	0.155431	0.170401	0.120267	0.134572	0.148809	2975
2100	0.139907	0.155685	0.171181	0.124491	0.140101	0.155321	2517
2700	0.137864	0.154411	0.171377	0.120555	0.136922	0.153398	2243
3300	0.117464	0.134009	0.150956	0.117319	0.133996	0.150605	2108
3900	0.122450	0.140726	0.158514	0.119643	0.137510	0.155294	1890
4500	0.125745	0.144907	0.164217	0.113762	0.132593	0.150856	1695
5100	0.133375	0.152557	0.171880	0.113243	0.133054	0.152339	1616
5700	0.112316	0.132165	0.152208	0.113608	0.133338	0.153559	1508
6300	0.105975	0.126743	0.147064	0.116224	0.135663	0.155591	1491
6900	0.105341	0.126966	0.148619	0.108714	0.129813	0.150478	1361
7500	0.103742	0.125428	0.147493	0.109131	0.130268	0.151560	1339
8100	0.130463	0.152625	0.174409	0.114448	0.136041	0.157499	1266
8700	0.123938	0.147357	0.170997	0.111287	0.134024	0.156859	1173
9300	0.125466	0.148292	0.171173	0.109808	0.132375	0.155717	1110
9900	0.087552	0.111311	0.135612	0.106472	0.130185	0.153257	1100
10500	0.128024	0.151067	0.174225	0.105196	0.128910	0.152367	1086
11100	0.124164	0.147992	0.171650	0.107636	0.130948	0.154080	1138
11700	0.110386	0.135577	0.159609	0.111886	0.135396	0.159394	1055
12300	0.102360	0.128739	0.155252	0.107786	0.133116	0.158644	949
12900	0.118458	0.145418	0.172555	0.113000	0.139131	0.165163	888
13500	0.109272	0.135769	0.162603	0.109793	0.136885	0.163325	878
14100	0.114724	0.141324	0.168091	0.104031	0.130410	0.156029	874
14700	0.101722	0.128796	0.155784	0.107084	0.133819	0.159477	876
15300	0.087181	0.114061	0.141229	0.107552	0.133381	0.158891	888
15900	0.092936	0.118506	0.144812	0.105508	0.131684	0.158012	879
16500	0.123677	0.149171	0.174495	0.105739	0.131295	0.156646	913
17100	0.077891	0.106536	0.135176	0.109926	0.136948	0.164646	822
17700	0.075464	0.102344	0.128357	0.110120	0.136565	0.162941	866
18300	0.089371	0.116384	0.142100	0.108290	0.133607	0.159379	890
18900	0.111601	0.138549	0.165803	0.106435	0.132584	0.158522	869
19500	0.128417	0.156970	0.184903	0.105681	0.132376	0.159368	813
20100	0.107417	0.135015	0.163286	0.107007	0.134608	0.161724	820
20700	0.114601	0.142256	0.170496	0.102263	0.129756	0.156316	815
21300	0.086576	0.114314	0.141196	0.101177	0.128619	0.155555	808
