window	vader_2.5p	vader_50p	vader_97.5p	null_2.5p	null_50p	null_97.5p	lengths
-21300	0.084038	0.103363	0.122356	0.114363	0.133057	0.151964	1676
-20700	0.113196	0.133151	0.152756	0.112521	0.131293	0.150100	1701
-20100	0.095456	0.113701	0.132534	0.108666	0.127826	0.147215	1642
-19500	0.124412	0.144819	0.164890	0.111099	0.130425	0.149630	1591
-18900	0.112154	0.131435	0.150903	0.113091	0.131976	0.151257	1637
-18300	0.111614	0.131994	0.152236	0.111141	0.130452	0.149832	1623
-17700	0.115168	0.134269	0.152948	0.110281	0.129142	0.147504	1798
-17100	0.123392	0.142489	0.161048	0.112662	0.131378	0.150171	1734
-16500	0.106702	0.124716	0.142795	0.111804	0.129879	0.147679	1940
-15900	0.119473	0.137149	0.155065	0.111817	0.129611	0.147094	1930
-15300	0.104775	0.122815	0.141948	0.111667	0.129416	0.147315	1904
-14700	0.119271	0.136306	0.154024	0.110352	0.127953	0.145695	1969
-14100	0.098659	0.116553	0.134116	0.112728	0.129837	0.147691	1972
-13500	0.096168	0.113360	0.130992	0.113310	0.130807	0.148829	1998
-12900	0.085520	0.102765	0.120596	0.111089	0.128326	0.145804	2053
-12300	0.109882	0.127483	0.144569	0.113382	0.130452	0.147302	2074
-11700	0.116095	0.132733	0.149236	0.112765	0.129389	0.146443	2167
-11100	0.116708	0.133278	0.150166	0.113303	0.130005	0.147037	2207
-10500	0.115911	0.132522	0.148993	0.113040	0.129625	0.146315	2270
-9900	0.110036	0.126201	0.142499	0.113877	0.130121	0.146492	2366
-9300	0.122216	0.137781	0.153458	0.113078	0.128576	0.144286	2452
-8700	0.107980	0.124494	0.140957	0.114517	0.130172	0.145967	2496
-8100	0.115800	0.131434	0.146507	0.114013	0.129283	0.144395	2650
-7500	0.123454	0.138312	0.153124	0.116514	0.131397	0.146268	2775
-6900	0.112076	0.126249	0.140408	0.115871	0.130001	0.144497	2905
-6300	0.108144	0.122982	0.138079	0.115938	0.130506	0.145111	2903
-5700	0.120202	0.134165	0.148246	0.116399	0.130367	0.144321	3113
-5100	0.117418	0.130881	0.144598	0.115930	0.129870	0.143984	3135
-4500	0.116064	0.130250	0.144391	0.117325	0.131064	0.144614	3175
-3900	0.101696	0.115333	0.128711	0.117060	0.130308	0.143502	3484
-3300	0.118975	0.131697	0.144981	0.116219	0.129217	0.142015	3700
-2700	0.122048	0.134550	0.146855	0.116391	0.128526	0.140290	4201
-2100	0.132568	0.143538	0.154607	0.118549	0.129446	0.140506	4967
-1500	0.139668	0.149872	0.160131	0.120258	0.130329	0.140827	5773
-900	0.132911	0.142045	0.151103	0.120649	0.129418	0.138347	7708
-300	0.166856	0.173902	0.180671	0.124707	0.131543	0.138286	13532
300	0.158900	0.165162	0.171560	0.126290	0.132485	0.138669	15865
900	0.142970	0.150945	0.159165	0.123652	0.131665	0.139336	9891
1500	0.138442	0.147745	0.156600	0.121401	0.130323	0.139194	7603
2100	0.136869	0.146659	0.156506	0.120901	0.130752	0.140513	6525
2700	0.128000	0.138600	0.149289	0.120383	0.130952	0.141394	5580
3300	0.119038	0.129893	0.140830	0.118571	0.129436	0.140174	5067
3900	0.133961	0.145419	0.156839	0.118267	0.129667	0.141469	4626
4500	0.125740	0.137701	0.149780	0.118060	0.130236	0.142541	4231
5100	0.127801	0.140446	0.152641	0.116600	0.128759	0.140997	4028
5700	0.126019	0.138477	0.151292	0.117023	0.129651	0.142032	3778
6300	0.111725	0.124753	0.138112	0.116118	0.129592	0.142540	3516
6900	0.108944	0.122722	0.136653	0.116133	0.129266	0.142279	3470
7500	0.115692	0.128794	0.142585	0.114389	0.127902	0.141742	3292
8100	0.131886	0.145911	0.160246	0.115543	0.129178	0.143374	3155
8700	0.123489	0.137651	0.151852	0.114238	0.128823	0.143404	2964
9300	0.124368	0.139069	0.153935	0.112463	0.127300	0.141904	2816
9900	0.106885	0.121482	0.136035	0.112194	0.127109	0.141892	2748
10500	0.119153	0.133701	0.148054	0.111018	0.125768	0.140841	2769
11100	0.117860	0.132610	0.147136	0.112269	0.127130	0.141957	2858
11700	0.116835	0.132315	0.147230	0.112476	0.127893	0.143371	2674
12300	0.111948	0.127595	0.143387	0.112982	0.128199	0.143746	2518
12900	0.107763	0.123489	0.139687	0.111666	0.127941	0.143849	2417
13500	0.119148	0.135465	0.151677	0.111379	0.127894	0.144396	2340
14100	0.105456	0.121811	0.138103	0.111323	0.128068	0.144286	2299
14700	0.104256	0.120766	0.137336	0.110883	0.127331	0.143904	2265
15300	0.094982	0.111860	0.128653	0.110597	0.127107	0.143459	2245
15900	0.100214	0.117551	0.133864	0.109756	0.126088	0.142491	2314
16500	0.106667	0.123085	0.139554	0.108080	0.124174	0.140552	2270
17100	0.096773	0.114518	0.131688	0.108525	0.125399	0.142565	2111
17700	0.090723	0.108159	0.125358	0.109709	0.126559	0.143495	2121
18300	0.106333	0.123342	0.140614	0.110798	0.128112	0.145521	2061
18900	0.100011	0.117312	0.134622	0.111124	0.128506	0.146256	2000
19500	0.107115	0.124293	0.141317	0.110575	0.127284	0.144138	2126
20100	0.102896	0.120511	0.137663	0.107695	0.125395	0.142691	2043
20700	0.103776	0.121475	0.138412	0.106766	0.124038	0.141287	2080
21300	0.102074	0.119523	0.136769	0.108308	0.125708	0.142790	2039
