window	vader_2.5p	vader_50p	vader_97.5p	null_2.5p	null_50p	null_97.5p	lengths
-21300	0.079877	0.108508	0.137095	0.102149	0.130132	0.157664	803
-20700	0.116502	0.145940	0.175585	0.102779	0.130494	0.156535	826
-20100	0.084693	0.112069	0.139735	0.100522	0.128411	0.156418	776
-19500	0.118328	0.147088	0.174820	0.099235	0.126083	0.152929	809
-18900	0.103283	0.131227	0.158306	0.098131	0.124535	0.151278	815
-18300	0.109342	0.137479	0.166039	0.098270	0.125901	0.154069	768
-17700	0.100274	0.128312	0.155828	0.097990	0.124518	0.150540	882
-17100	0.100423	0.127493	0.155808	0.099403	0.126779	0.153381	806
-16500	0.094351	0.121309	0.148783	0.098219	0.124153	0.150315	883
-15900	0.107390	0.133836	0.159692	0.101713	0.127937	0.153635	870
-15300	0.096224	0.122305	0.148248	0.098505	0.124248	0.149871	918
-14700	0.117182	0.142896	0.168375	0.097604	0.122591	0.147699	957
-14100	0.074329	0.101136	0.128195	0.099229	0.123937	0.148578	965
-13500	0.086177	0.111708	0.136289	0.101597	0.126002	0.150610	986
-12900	0.075669	0.100981	0.125040	0.103161	0.127774	0.151982	1016
-12300	0.092699	0.118447	0.143412	0.104846	0.128562	0.153166	1003
-11700	0.109326	0.133623	0.157335	0.104568	0.128091	0.152139	1055
-11100	0.094775	0.119068	0.143179	0.104899	0.127937	0.151037	1095
-10500	0.103898	0.127823	0.151879	0.104680	0.128898	0.152689	1077
-9900	0.102150	0.125641	0.149666	0.104497	0.127655	0.150970	1140
-9300	0.114303	0.136355	0.158951	0.101913	0.124424	0.146608	1168
-8700	0.110001	0.132762	0.155246	0.103078	0.125264	0.147182	1216
-8100	0.095903	0.118847	0.141566	0.105643	0.128311	0.150111	1219
-7500	0.111973	0.134019	0.154920	0.109409	0.131160	0.152291	1350
-6900	0.100630	0.121206	0.141692	0.107461	0.127829	0.148969	1376
-6300	0.112289	0.134002	0.155454	0.108864	0.129390	0.150448	1366
-5700	0.117230	0.137234	0.158052	0.107969	0.127633	0.147820	1518
-5100	0.114227	0.134436	0.154660	0.106484	0.126577	0.146570	1489
-4500	0.117951	0.138167	0.157752	0.111323	0.131287	0.151586	1461
-3900	0.092011	0.110862	0.130107	0.107119	0.125936	0.144511	1698
-3300	0.098832	0.117551	0.136186	0.108682	0.127523	0.146427	1667
-2700	0.106500	0.123995	0.141603	0.109880	0.127532	0.145051	1977
-2100	0.124640	0.141049	0.157897	0.109071	0.125250	0.141365	2294
-1500	0.124959	0.140542	0.156031	0.113127	0.128352	0.143739	2584
-900	0.132844	0.146138	0.159209	0.116672	0.129678	0.142959	3453
-300	0.167264	0.177483	0.187819	0.122205	0.132522	0.142740	5794
300	0.152197	0.162245	0.172298	0.121729	0.131419	0.140946	6422
900	0.131609	0.144797	0.157785	0.115929	0.128516	0.140794	3804
1500	0.131057	0.146061	0.160974	0.111174	0.126004	0.140768	2748
2100	0.125063	0.140901	0.156451	0.115125	0.131030	0.146686	2462
2700	0.100873	0.118682	0.136385	0.112240	0.129004	0.146168	2012
3300	0.102292	0.121146	0.139636	0.112453	0.130533	0.148906	1814
3900	0.126910	0.146163	0.165995	0.110090	0.129132	0.148200	1693
4500	0.116899	0.137664	0.158207	0.109452	0.129408	0.149146	1523
5100	0.100695	0.121434	0.142283	0.108306	0.129071	0.150224	1439
5700	0.123755	0.145034	0.166046	0.107198	0.128429	0.149310	1381
6300	0.100568	0.123853	0.146876	0.105188	0.127429	0.149698	1203
6900	0.100137	0.122484	0.144948	0.102351	0.123765	0.144691	1311
7500	0.097559	0.119816	0.142376	0.105826	0.127828	0.150273	1199
8100	0.122406	0.145071	0.167671	0.105456	0.128195	0.150502	1185
8700	0.108791	0.133122	0.156486	0.102847	0.126932	0.150528	1075
9300	0.109947	0.134266	0.158471	0.102822	0.126780	0.151212	1048
9900	0.090296	0.113723	0.136836	0.101602	0.126096	0.150973	1014
10500	0.089232	0.114009	0.138117	0.096810	0.121823	0.146472	982
11100	0.091859	0.116571	0.141724	0.100834	0.125444	0.149445	1028
11700	0.111509	0.136650	0.161172	0.100894	0.126335	0.151101	970
12300	0.087697	0.112896	0.137914	0.102629	0.127996	0.153310	945
12900	0.090618	0.116699	0.142431	0.095873	0.120847	0.146208	934
13500	0.105719	0.131539	0.157835	0.101791	0.127289	0.153034	919
14100	0.077705	0.103875	0.131114	0.096488	0.122149	0.148245	858
14700	0.078479	0.104764	0.132332	0.094371	0.120958	0.147921	852
15300	0.075472	0.101985	0.129026	0.096805	0.122590	0.149356	836
15900	0.082387	0.110372	0.138555	0.098746	0.125270	0.151634	853
16500	0.080211	0.107667	0.136318	0.100995	0.127433	0.153361	830
17100	0.102817	0.131461	0.160880	0.091939	0.120437	0.148188	782
17700	0.097550	0.125429	0.153011	0.098242	0.126009	0.154478	775
18300	0.116704	0.145972	0.175696	0.094382	0.124176	0.154092	687
18900	0.060917	0.090161	0.120033	0.091104	0.121163	0.150891	690
19500	0.097425	0.125553	0.152908	0.099127	0.126347	0.154352	790
20100	0.083539	0.111863	0.140749	0.090729	0.118905	0.147742	738
20700	0.084167	0.113383	0.142179	0.090879	0.119004	0.147199	756
21300	0.102596	0.131559	0.159977	0.092479	0.121906	0.150396	734
