window	vader_2.5p	vader_50p	vader_97.5p	null_2.5p	null_50p	null_97.5p	lengths
-21300	0.059928	0.092363	0.124920	0.093089	0.123981	0.154661	605
-20700	0.110753	0.143367	0.176600	0.102595	0.132619	0.162885	651
-20100	0.080895	0.112601	0.143623	0.097962	0.130163	0.160609	584
-19500	0.115249	0.146934	0.178536	0.096739	0.126408	0.157630	621
-18900	0.107230	0.138984	0.169703	0.094984	0.124508	0.154162	654
-18300	0.111491	0.145069	0.178607	0.095341	0.127474	0.160177	584
-17700	0.099906	0.131431	0.162352	0.093424	0.123457	0.153109	679
-17100	0.110502	0.141212	0.173241	0.098175	0.128954	0.161010	617
-16500	0.087293	0.118582	0.150463	0.090098	0.120488	0.150167	672
-15900	0.095677	0.125484	0.154995	0.095815	0.125011	0.154494	670
-15300	0.097402	0.126868	0.155829	0.096866	0.125276	0.153733	737
-14700	0.112685	0.141664	0.170628	0.094345	0.122248	0.149640	754
-14100	0.075179	0.104630	0.134392	0.103563	0.131537	0.159362	766
-13500	0.078853	0.106487	0.133863	0.096213	0.123732	0.150699	799
-12900	0.073482	0.101396	0.129655	0.097986	0.125677	0.153478	795
-12300	0.089983	0.118795	0.146743	0.099361	0.126194	0.153110	792
-11700	0.110548	0.137372	0.163535	0.102514	0.129319	0.156079	820
-11100	0.101442	0.128498	0.156373	0.101477	0.127539	0.153926	849
-10500	0.094480	0.121361	0.147735	0.101933	0.128599	0.154779	854
-9900	0.100107	0.126272	0.152854	0.104030	0.130175	0.155993	904
-9300	0.108509	0.133803	0.158428	0.101728	0.127117	0.151435	955
-8700	0.111124	0.136009	0.161324	0.100235	0.124648	0.149163	978
-8100	0.088096	0.113874	0.138794	0.103725	0.129402	0.154853	971
-7500	0.105641	0.129883	0.153697	0.109458	0.132763	0.156624	1081
-6900	0.105700	0.129631	0.153224	0.108290	0.131535	0.154902	1066
-6300	0.117538	0.142040	0.166324	0.106317	0.129926	0.152818	1074
-5700	0.128712	0.151975	0.175444	0.105131	0.127883	0.149848	1165
-5100	0.124798	0.147428	0.170293	0.103895	0.126158	0.148957	1174
-4500	0.117605	0.140098	0.163613	0.107196	0.129701	0.151745	1113
-3900	0.082886	0.104438	0.125890	0.109383	0.130239	0.151621	1344
-3300	0.091479	0.112923	0.134295	0.104696	0.125978	0.147440	1311
-2700	0.109898	0.129161	0.148713	0.106138	0.125731	0.144812	1558
-2100	0.124586	0.143102	0.161051	0.107833	0.125218	0.142857	1843
-1500	0.129958	0.147789	0.164954	0.111510	0.128420	0.145094	2073
-900	0.137486	0.152541	0.167657	0.115651	0.130172	0.144636	2762
-300	0.167711	0.179236	0.190990	0.122099	0.133170	0.144646	4603
300	0.149040	0.160146	0.171378	0.121440	0.132035	0.142627	5196
900	0.131978	0.146389	0.160738	0.115514	0.129044	0.142766	3187
1500	0.126229	0.142769	0.159261	0.110083	0.126286	0.142156	2268
2100	0.124259	0.141866	0.159225	0.115728	0.132583	0.149658	2094
2700	0.104135	0.123388	0.142578	0.110997	0.129693	0.148769	1686
3300	0.105103	0.125284	0.145205	0.110714	0.129994	0.149727	1523
3900	0.125881	0.147708	0.169261	0.108704	0.129037	0.149242	1433
4500	0.119149	0.141603	0.164078	0.109069	0.130347	0.152023	1272
5100	0.094985	0.117333	0.139821	0.105545	0.127708	0.150495	1208
5700	0.124438	0.147349	0.169995	0.108121	0.130124	0.152722	1177
6300	0.091457	0.116605	0.143231	0.101097	0.125558	0.150554	1005
6900	0.103567	0.127939	0.152081	0.099481	0.122853	0.145321	1097
7500	0.104474	0.129145	0.154194	0.105693	0.130136	0.154392	1001
8100	0.124157	0.150657	0.176374	0.104278	0.129266	0.153717	972
8700	0.098078	0.123887	0.150400	0.099972	0.125920	0.151342	901
9300	0.115339	0.142661	0.170283	0.098937	0.125783	0.152387	862
9900	0.083946	0.109471	0.135646	0.099041	0.126146	0.151919	834
10500	0.096247	0.122720	0.149465	0.092890	0.120065	0.146422	826
11100	0.087709	0.115858	0.142695	0.098303	0.124398	0.150003	891
11700	0.120019	0.147520	0.175286	0.101660	0.128056	0.155011	815
12300	0.088435	0.116347	0.144100	0.099617	0.128636	0.155724	774
12900	0.088194	0.116414	0.143841	0.094734	0.122539	0.150318	798
13500	0.106568	0.135087	0.163655	0.098441	0.126109	0.153738	764
14100	0.081881	0.111149	0.140167	0.093893	0.123538	0.152901	716
14700	0.078752	0.109221	0.139354	0.092029	0.120086	0.148763	725
15300	0.074617	0.103655	0.132827	0.092378	0.121610	0.150422	703
15900	0.092146	0.122870	0.153268	0.095923	0.125070	0.153712	700
16500	0.076607	0.106993	0.137996	0.098111	0.127084	0.156372	687
17100	0.095152	0.126118	0.157554	0.089474	0.119697	0.149266	672
17700	0.092688	0.122300	0.152172	0.097592	0.127520	0.156668	650
18300	0.118691	0.150290	0.182436	0.091567	0.124150	0.156679	596
18900	0.061812	0.093131	0.123814	0.089255	0.120624	0.152433	584
19500	0.103365	0.133974	0.163427	0.096855	0.126639	0.157236	666
20100	0.080617	0.112241	0.143890	0.089200	0.119787	0.151309	621
20700	0.091753	0.123620	0.155809	0.086293	0.117925	0.148751	624
21300	0.096877	0.128506	0.161270	0.095138	0.126016	0.157956	596
