window	vader_2.5p	vader_50p	vader_97.5p	null_2.5p	null_50p	null_97.5p	lengths
-21300	0.095310	0.156539	0.217595	0.094394	0.146509	0.198197	198
-20700	0.089845	0.157185	0.222382	0.082346	0.137265	0.192803	175
-20100	0.055280	0.111621	0.167436	0.057953	0.112798	0.166553	192
-19500	0.086438	0.147047	0.206173	0.076724	0.127839	0.179907	188
-18900	0.035181	0.098276	0.161565	0.057833	0.113531	0.170255	161
-18300	0.055912	0.113243	0.170874	0.074658	0.127504	0.180784	184
-17700	0.054776	0.117590	0.177268	0.083007	0.134361	0.185687	203
-17100	0.020783	0.082557	0.142778	0.085430	0.140564	0.194757	189
-16500	0.076047	0.131447	0.186900	0.071636	0.122291	0.171609	211
-15900	0.106448	0.161693	0.215673	0.076456	0.127443	0.177439	200
-15300	0.045782	0.104017	0.162797	0.062566	0.115727	0.168969	181
-14700	0.096372	0.148602	0.201656	0.083195	0.133055	0.183401	203
-14100	0.025755	0.087149	0.148027	0.061271	0.113996	0.166136	199
-13500	0.072857	0.132756	0.191833	0.072555	0.124591	0.175646	187
-12900	0.045048	0.099850	0.155705	0.089904	0.138363	0.186424	221
-12300	0.065573	0.118535	0.173249	0.080027	0.130366	0.180911	211
-11700	0.067078	0.119173	0.172524	0.067147	0.114475	0.161532	235
-11100	0.034391	0.085616	0.137508	0.090814	0.135207	0.179172	246
-10500	0.096742	0.152356	0.209647	0.071579	0.122213	0.173443	223
-9900	0.068403	0.120354	0.172575	0.084750	0.129241	0.174883	236
-9300	0.099037	0.148882	0.200074	0.083038	0.131585	0.182112	213
-8700	0.066637	0.119799	0.169889	0.080688	0.127527	0.174469	238
-8100	0.085357	0.138635	0.191644	0.085537	0.133079	0.179863	248
-7500	0.103281	0.149206	0.195325	0.089450	0.133903	0.177550	269
-6900	0.047738	0.091790	0.135679	0.076675	0.117072	0.157522	310
-6300	0.058810	0.105289	0.151737	0.077782	0.120210	0.162918	292
-5700	0.049165	0.089007	0.129333	0.081622	0.120854	0.160544	353
-5100	0.043003	0.086422	0.128923	0.063440	0.104141	0.144513	315
-4500	0.089786	0.130478	0.171446	0.097211	0.134944	0.172320	348
-3900	0.092492	0.135992	0.179001	0.101868	0.139362	0.177655	354
-3300	0.092834	0.135455	0.178212	0.097231	0.134708	0.172398	356
-2700	0.065131	0.105090	0.144404	0.093882	0.128743	0.163828	419
-2100	0.095126	0.131903	0.168700	0.091138	0.124965	0.159006	451
-1500	0.074667	0.110378	0.145095	0.091210	0.122969	0.155150	511
-900	0.089613	0.120396	0.150099	0.099592	0.126935	0.153559	691
-300	0.147533	0.170217	0.193189	0.112570	0.133559	0.154779	1191
300	0.147818	0.170994	0.194888	0.110531	0.131324	0.152008	1226
900	0.103372	0.136824	0.170194	0.102397	0.130875	0.159269	617
1500	0.124719	0.161837	0.198606	0.108739	0.142325	0.174867	480
2100	0.096584	0.135443	0.174469	0.089216	0.128439	0.168086	368
2700	0.053670	0.096222	0.137017	0.076983	0.117121	0.156553	326
3300	0.055291	0.101218	0.146832	0.078421	0.120328	0.162262	291
3900	0.093252	0.137873	0.182932	0.084113	0.128868	0.173275	260
4500	0.067365	0.116385	0.166107	0.099486	0.145632	0.191606	251
5100	0.090583	0.141792	0.194644	0.084304	0.131775	0.179494	231
5700	0.077013	0.131792	0.185680	0.068894	0.120569	0.171513	204
6300	0.107565	0.158441	0.206642	0.092379	0.142706	0.193698	198
6900	0.040203	0.096165	0.149658	0.069442	0.118453	0.166702	214
7500	0.026192	0.071522	0.118485	0.052646	0.102387	0.151703	198
8100	0.070139	0.121078	0.171551	0.092786	0.141953	0.192949	213
8700	0.117503	0.179178	0.239732	0.088761	0.142566	0.196549	174
9300	0.042243	0.094599	0.148846	0.073904	0.127385	0.181211	186
9900	0.077332	0.134386	0.191175	0.079407	0.133839	0.188798	180
10500	0.006579	0.069730	0.129937	0.043825	0.104308	0.163585	156
11100	0.057712	0.125340	0.192516	0.068905	0.130714	0.191329	137
11700	0.014301	0.080083	0.145802	0.065398	0.124963	0.182857	155
12300	0.041435	0.098112	0.155211	0.056705	0.111588	0.166691	171
12900	0.049946	0.117726	0.188128	0.065690	0.125361	0.186300	136
13500	0.059335	0.116521	0.176219	0.067835	0.125517	0.183269	155
14100	0.003431	0.068333	0.130681	0.051562	0.112018	0.173229	142
14700	0.016372	0.081646	0.146391	0.059054	0.121272	0.184276	127
15300	0.028389	0.094466	0.159382	0.076270	0.137435	0.200150	133
15900	-0.014193	0.054584	0.121308	0.048108	0.107020	0.164548	153
16500	0.048552	0.112455	0.177485	0.046599	0.107499	0.166779	143
17100	0.081654	0.162820	0.245009	0.067810	0.135235	0.204851	110
17700	0.064120	0.138894	0.214386	0.053523	0.117633	0.182625	125
18300	0.040798	0.118990	0.199342	0.033374	0.108502	0.183743	91
18900	-0.003653	0.075856	0.153921	0.015788	0.087098	0.157274	106
19500	0.005124	0.079921	0.151963	0.063327	0.127356	0.193194	124
20100	0.039297	0.113414	0.184658	0.058412	0.124413	0.190642	117
20700	-0.003267	0.065253	0.131505	0.043760	0.104782	0.167005	132
21300	0.078522	0.142799	0.206977	0.061764	0.123249	0.184874	138
