window	vader_2.5p	vader_50p	vader_97.5p	null_2.5p	null_50p	null_97.5p	lengths
-21300	0.058544	0.093905	0.129393	0.093994	0.131585	0.168371	425
-20700	0.086614	0.124261	0.162699	0.089588	0.125797	0.160997	461
-20100	0.074092	0.111670	0.148846	0.079937	0.116280	0.152402	437
-19500	0.098896	0.138485	0.179347	0.096244	0.132584	0.169196	423
-18900	0.086316	0.124996	0.163027	0.091065	0.128130	0.165799	422
-18300	0.085459	0.126031	0.167128	0.084540	0.122703	0.160393	420
-17700	0.130655	0.167743	0.204509	0.084852	0.122228	0.159788	431
-17100	0.122317	0.157641	0.193218	0.090766	0.126443	0.161337	451
-16500	0.106975	0.141295	0.174876	0.096087	0.129473	0.162361	520
-15900	0.108037	0.141864	0.174849	0.098499	0.129994	0.161868	554
-15300	0.091655	0.127707	0.163882	0.094765	0.129669	0.163816	483
-14700	0.104794	0.139230	0.173335	0.095799	0.129783	0.163512	484
-14100	0.118114	0.149879	0.182859	0.093375	0.128001	0.161333	523
-13500	0.073979	0.107573	0.141055	0.090810	0.123487	0.156480	519
-12900	0.067295	0.103685	0.140561	0.084161	0.118231	0.151746	487
-12300	0.087283	0.121779	0.154520	0.095663	0.128040	0.161325	528
-11700	0.074487	0.108045	0.141596	0.095940	0.127292	0.159079	556
-11100	0.102255	0.135457	0.168435	0.092185	0.123904	0.155506	558
-10500	0.111079	0.142641	0.173728	0.100931	0.131033	0.161177	641
-9900	0.094967	0.125815	0.157457	0.096913	0.126174	0.155879	669
-9300	0.101102	0.130121	0.159143	0.095824	0.125014	0.153410	677
-8700	0.074539	0.105557	0.136311	0.093875	0.122563	0.151659	680
-8100	0.122553	0.152812	0.181829	0.095799	0.124397	0.152542	706
-7500	0.100916	0.130123	0.158991	0.097640	0.126654	0.156487	667
-6900	0.120740	0.150086	0.180400	0.098624	0.127431	0.156963	670
-6300	0.084252	0.112604	0.141887	0.096829	0.125461	0.153737	706
-5700	0.083927	0.113310	0.141173	0.100064	0.127383	0.155222	731
-5100	0.086830	0.114796	0.142613	0.094064	0.121972	0.149752	744
-4500	0.099051	0.127675	0.154616	0.105018	0.131034	0.157587	814
-3900	0.092044	0.118893	0.146565	0.099163	0.124244	0.150633	845
-3300	0.126924	0.153312	0.179449	0.102245	0.127186	0.152287	934
-2700	0.117782	0.142660	0.167190	0.098609	0.122215	0.145753	1025
-2100	0.131276	0.153523	0.175545	0.107981	0.129903	0.151857	1215
-1500	0.133140	0.154013	0.174221	0.116047	0.136139	0.157166	1374
-900	0.124136	0.141383	0.158823	0.112862	0.130263	0.147759	1883
-300	0.153045	0.166497	0.179409	0.114723	0.127290	0.139544	3757
300	0.148629	0.161154	0.173540	0.121215	0.132736	0.144213	4352
900	0.133501	0.149689	0.165548	0.116984	0.132629	0.147974	2474
1500	0.119698	0.138116	0.156420	0.109046	0.126477	0.143927	1880
2100	0.121050	0.140544	0.160323	0.112274	0.131384	0.150812	1546
2700	0.120645	0.142545	0.164553	0.111875	0.132984	0.153824	1325
3300	0.112921	0.136022	0.158781	0.104766	0.126868	0.149188	1145
3900	0.129367	0.152911	0.176646	0.107657	0.130829	0.154065	1043
4500	0.101618	0.126094	0.150360	0.108823	0.132702	0.155960	1013
5100	0.123617	0.148884	0.174058	0.101266	0.125744	0.149794	973
5700	0.112745	0.139537	0.165572	0.100232	0.125363	0.151159	889
6300	0.095396	0.122404	0.148551	0.100311	0.126445	0.152667	822
6900	0.088646	0.116277	0.145053	0.102399	0.128706	0.155422	798
7500	0.122076	0.150292	0.178078	0.100872	0.128267	0.155706	754
8100	0.106927	0.136117	0.164937	0.101581	0.130121	0.158603	704
8700	0.100061	0.129258	0.157878	0.095711	0.124029	0.152303	716
9300	0.100684	0.130653	0.159922	0.089570	0.119716	0.148945	658
9900	0.120652	0.150431	0.181080	0.097555	0.127338	0.157111	634
10500	0.105888	0.133781	0.161406	0.094040	0.122302	0.150563	701
11100	0.102618	0.130593	0.158773	0.092629	0.121310	0.149563	692
11700	0.091800	0.120557	0.149516	0.092255	0.122178	0.151012	649
12300	0.114936	0.147759	0.179602	0.098950	0.128848	0.158800	624
12900	0.068310	0.101466	0.134859	0.098302	0.129246	0.160952	595
13500	0.109778	0.142476	0.174708	0.095016	0.127962	0.160110	543
14100	0.086215	0.118588	0.151351	0.090994	0.123333	0.154720	567
14700	0.099124	0.132408	0.166992	0.091570	0.124978	0.156906	537
15300	0.088754	0.122969	0.156584	0.089200	0.122564	0.156503	521
15900	0.091833	0.125627	0.160355	0.087814	0.119627	0.151510	582
16500	0.067802	0.101580	0.134788	0.084622	0.117870	0.150224	527
17100	0.065577	0.100299	0.134850	0.084502	0.118485	0.151592	507
17700	0.054427	0.090866	0.127363	0.092152	0.126142	0.161159	480
18300	0.069636	0.104506	0.140320	0.087733	0.122016	0.155738	484
18900	0.079301	0.116918	0.153889	0.082645	0.119020	0.154959	441
19500	0.037950	0.071989	0.105695	0.087125	0.119673	0.151918	523
20100	0.075399	0.107895	0.139525	0.086576	0.120767	0.154771	485
20700	0.065595	0.100117	0.134367	0.079689	0.113778	0.147537	509
21300	0.076509	0.111495	0.147935	0.087437	0.121103	0.155505	497
